outcome,term,model8_coef,model8_pvalue,model8e_coef,model8e_pvalue
y_pv,log_median_household_income,0.0740157945064192,0.06400019802949336,0.39889198652307617,3.021076075979721e-09
y_pv,pct_black,-0.7315941387351786,2.1952787347091175e-11,-0.637023645024997,5.238070743055664e-12
y_pv,pct_hispanic,-0.01893403154838161,0.7377274649782222,-0.03332105158666947,0.5431262671463821
y_pv,pct_asian,-0.6215182697027427,1.3145734199335119e-36,-0.4680886042285883,1.1432034253012792e-16
y_pv,poverty_rate,-0.04352341889099693,0.8610387512167652,-0.21258478203611636,0.35599811659647285
y_pv,energy_burden_pct,,,16.92452035377429,6.1454486499609236e-06
y_pv,log_energy_gap_per_capita,,,0.02223090053733793,2.751484409142092e-08
y_storage,log_median_household_income,0.5851237291116057,1.1565912466612375e-07,0.8738469737869634,4.162580043962868e-09
y_storage,pct_black,-1.680880604754838,7.680805665483988e-09,-1.693392405499312,2.5248787707438845e-09
y_storage,pct_hispanic,-0.8539391811926146,1.6535707587926607e-13,-0.9390552036901326,7.588108805990344e-14
y_storage,pct_asian,-1.747860595532512,6.347709916258624e-31,-1.5698802142447894,8.042360140566369e-22
y_storage,poverty_rate,-0.46422381255629275,0.3249752501915034,-0.9881236015034844,0.04319687737492034
y_storage,energy_burden_pct,,,28.529038737226927,0.00916763549392106
y_storage,log_energy_gap_per_capita,,,0.016226871388190036,0.10631281539863295
y_chargers,log_median_household_income,0.1470475312420263,0.35110834397154855,0.1353585370435518,0.4265744200678745
y_chargers,pct_black,-1.1890561794310779,0.013158938476013399,-1.272180328477834,0.005660561191648862
y_chargers,pct_hispanic,-0.8181274465611109,1.5673710386117936e-07,-0.8963524483848595,9.04918081047572e-09
y_chargers,pct_asian,-0.1777740212342952,0.4121144198924177,-0.46795780311085056,0.028329065349027488
y_chargers,poverty_rate,2.9627145706710496,0.0005839693618290575,2.6973213317490576,0.001312066916128688
y_chargers,energy_burden_pct,,,-19.47765492123127,0.0021905399475067363
y_chargers,log_energy_gap_per_capita,,,0.09048832167668484,1.7315069489842605e-14
