case_id,faa_ors_id,faa_asn_id,usgs_project_id,eia_id,state,county,project_name,project_year,project_turbine_count,wind_capacity_mw,turbine_manufacturer,turbine_model,turbine_capacity_kw,turbine_hub_height_m,turbine_rotor_diameter_m,turbine_rotor_swept_area_m2,turbine_total_tip_height_m,turbine_retrofit_flag,turbine_retrofit_year,offshore_flag,attribute_confidence,location_confidence,image_date,image_source,longitude,latitude,fips,zip_code
3072694,,,5140.0,56275.0,CA,kern,H & S - Tehachapi,1985.0,45,4.05,Vestas,V17,90.0,,17.0,226.98,,0,,0,2,3,5/8/2018,Maxar,-118.364464,35.077156,06029,93501
3072698,,,5131.0,56275.0,CA,kern,H & S - Tehachapi,1985.0,17,1.53,Vestas,V17,90.0,,17.0,226.98,,0,,0,2,3,5/8/2018,Maxar,-118.365524,35.076248,06029,93501
3072810,,,,56275.0,CA,kern,H & S - Tehachapi,1985.0,17,1.53,Vestas,V17,90.0,,17.0,226.98,,0,,0,2,3,11/23/2017,Maxar,-118.38282,35.075348,06029,93561
3002469,,,7129.0,56275.0,CA,kern,H & S - Tehachapi,1985.0,17,1.53,Vestas,V17,90.0,,17.0,226.98,,0,,0,2,3,5/8/2018,Maxar,-118.365288,35.074394,06029,93501
3072686,,,5139.0,56275.0,CA,kern,H & S - Tehachapi,1985.0,45,4.05,Vestas,V17,90.0,,17.0,226.98,,0,,0,2,3,5/8/2018,Maxar,-118.364639,35.07708,06029,93501
3037199,06-022026,2010-WTW-8489-OE,13705.0,55853.0,CA,san bernardino,Inland Empire Utility Agency,2011.0,1,1.0,Mitsubishi,MWT62/1.0,1000.0,55.0,61.4,2960.92,85.6,0,,0,3,3,,Bing Maps Aerial,-117.52639,34.084896,06071,91739
3009909,,,48029.0,,CA,los angeles,Lake Palmdale,2004.0,1,0.95,Vestas,NM54,950.0,,,,,0,,0,2,3,9/7/2017,Maxar,-118.118286,34.555897,06037,93550
3088214,06-213830,2016-WTW-11156-OE,,61443.0,CA,monterey,Mann Packing,2019.0,1,1.7,GE Wind,GE1.7-100,1700.0,80.0,100.0,7853.98,130.1,0,,0,3,3,8/1/2018,Maxar,-121.453575,36.503963,06053,93926
3072859,,,,,CA,marin,McEvoy Ranch,2009.0,1,0.225,Norwin,29-STALL-225,225.0,30.0,29.1,665.08,44.5,0,,0,3,3,9/1/2017,Maxar,-122.679672,38.15757,06041,94952
3040063,06-023297,2011-WTW-11874-OE,16296.0,58114.0,CA,riverside,Nestle Waters,2012.0,2,3.0,GE Wind,GE1.5-82.5,1500.0,80.0,82.5,5345.62,121.3,0,,0,3,3,,Bing Maps Aerial,-116.751289,33.917595,06065,92230
3039865,06-023296,2011-WTW-10501-OE,16295.0,58114.0,CA,riverside,Nestle Waters,2012.0,2,3.0,GE Wind,GE1.5-82.5,1500.0,80.0,82.5,5345.62,121.3,0,,0,3,3,,Bing Maps Aerial,-116.748489,33.916393,06065,92230
3088326,06-213827,2017-WTW-4476-OE,,,CA,riverside,Nestle Waters II,2018.0,1,1.85,GE Wind,GE1.85-82.5,1850.0,80.0,82.5,5345.62,121.3,0,,0,3,3,10/21/2018,Maxar,-116.753098,33.911694,06065,92230
3073309,,,6049.0,50754.0,CA,kern,Oak Creek Energy Systems,1997.0,11,4.923,NEG Micon,NM44,600.0,,,,,0,,0,2,3,1/8/2022,Maxar,-118.353775,35.03339,06029,93501
3078139,,,6089.0,50754.0,CA,kern,Oak Creek Energy Systems,1982.0,11,4.923,Lolland,75/L7,75.0,,,,,0,,0,2,3,1/8/2022,Maxar,-118.378136,35.037628,06029,93501
3070612,,,,50754.0,CA,kern,Oak Creek Energy Systems,1997.0,11,4.923,NEG Micon,NM44,600.0,,,,,0,,0,2,3,1/8/2022,Maxar,-118.347679,35.03426,06029,93501
3007499,,,6011.0,50754.0,CA,kern,Oak Creek Energy Systems,1999.0,11,4.923,NEG Micon,NM52,800.0,,,,,0,,0,2,3,1/8/2022,Maxar,-118.36689,35.042095,06029,93501
3078137,,,,50754.0,CA,kern,Oak Creek Energy Systems,1982.0,11,4.923,Micon,108,108.0,,,,,0,,0,2,3,1/8/2022,Maxar,-118.377586,35.037933,06029,93501
3073307,,,6053.0,50754.0,CA,kern,Oak Creek Energy Systems,1997.0,11,4.923,NEG Micon,NM44,600.0,,,,,0,,0,2,3,1/8/2022,Maxar,-118.352989,35.036034,06029,93501
3071616,,,6135.0,50754.0,CA,kern,Oak Creek Energy Systems,1997.0,11,4.923,NEG Micon,NM44,600.0,,,,,0,,0,2,3,1/8/2022,Maxar,-118.349876,35.028629,06029,93501
3078138,,,,50754.0,CA,kern,Oak Creek Energy Systems,1982.0,11,4.923,Lolland,75/L7,75.0,,,,,0,,0,2,3,1/8/2022,Maxar,-118.377876,35.037804,06029,93501
