,Coef.,Std.Err.,z,P>|z|,[0.025,0.975]
Intercept,-0.4716209409484191,0.14167334517404567,-3.328932061066483,0.0008717966763938811,-0.7492955950588601,-0.1939462868379781
log_median_household_income_c,0.115126747039998,0.026483557176572338,4.347102856025717,1.3794753939293884e-05,0.06321992879140895,0.16703356528858707
pct_black_c,-0.61421712847032,0.09329384983552007,-6.583682949660709,4.589352454708103e-11,-0.7970697141270273,-0.4313645428136126
pct_hispanic_c,-0.0650040772610862,0.0468194701611616,-1.3883983957385613,0.16501576462169043,-0.15676855255221067,0.026760398030038254
pct_asian_c,-0.699085871334524,0.05499688351646985,-12.71137247486341,5.112911258654267e-37,-0.8068777822887495,-0.5912939603802986
ghi_mean_kwh_m2_day_2023,0.1644729560786296,0.02795302574373185,5.883905291201287,4.006971862390672e-09,0.10968603236199423,0.21925987979526498
log_median_household_income_c:pct_black_c,0.6362971378370891,0.3447812438222109,1.8455097231600004,0.06496342541035602,-0.03946168259936733,1.3120559582735454
log_median_household_income_c:pct_hispanic_c,-0.3080117974063432,0.12932338366315843,-2.381717742621124,0.017232099898472193,-0.5614809717449893,-0.05454262306769708
log_median_household_income_c:pct_asian_c,0.4052425530868071,0.11235944663334729,3.606662058502295,0.00031016117869801275,0.1850220843625962,0.625463021811018
