,Coef.,Std.Err.,z,P>|z|,[0.025,0.975]
Intercept,0.11316886071428726,0.010177144290837757,11.11990333242799,1.0038069612882327e-28,0.09322202443877783,0.1331156969897967
log_median_household_income,-0.010020459523186863,0.0007050349316665063,-14.212713545272551,7.640646638354893e-46,-0.011402302597095872,-0.008638616449277853
pct_black,0.0005371720817087838,0.0016971132252503488,0.31652106277678854,0.7516070405569621,-0.0027891087174685123,0.0038634528808860796
pct_hispanic,0.0016798051980125464,0.0008033542116355452,2.0909894709988994,0.03652900783071818,0.00010525987637830946,0.0032543505196467835
pct_asian,-0.007179902906091722,0.0008670081665706288,-8.28124022694177,1.2189900188880154e-16,-0.008879207686872259,-0.005480598125311186
poverty_rate,0.01139508361420839,0.0036334936739490864,3.136123146685864,0.0017119730096921166,0.004273566875214058,0.01851660035320272
cdd65_2023,5.601988861279609e-06,3.3888835437113797e-07,16.530485007887048,2.2135534094628382e-61,4.937779891932131e-06,6.266197830627087e-06
hdd65_2023,3.034482728875648e-06,1.8494450851000204e-07,16.40753084978211,1.6893752286328872e-60,2.6719981530575825e-06,3.396967304693714e-06
ghi_mean_kwh_m2_day_2023,0.001411532133260238,0.0006153710086627965,2.293790434371458,0.021802539144505122,0.00020542711915107138,0.002617637147369405
log_kwh,5.764404384099241e-05,8.507361488083919e-05,0.677578399856797,0.49803904541347765,-0.00010909717736008319,0.00022438526504206803
