,Coef.,Std.Err.,z,P>|z|,[0.025,0.975]
Intercept,29.4646843700656,3.670792001447081,8.026792135988686,1.0005439861159756e-15,22.270064252491622,36.65930448763958
log_median_household_income,-1.309592207496484,0.36356305606586475,-3.6021047398700277,0.0003156511272857434,-2.0221627034948955,-0.5970217114980727
pct_black,1.4172320050444818,0.9097528068243691,1.5578209755587853,0.11927569224536044,-0.3658507311655068,3.2003147412544704
pct_hispanic,1.2906853501708677,0.29597425451240394,4.360802774204729,1.2958613213522858e-05,0.7105864709754645,1.8707842293662709
pct_asian,1.8587271295117886,0.6627592018607112,2.804528589408296,0.005039021855043661,0.559742963442283,3.1577112955812945
poverty_rate,3.5767402009158813,1.3107577651279532,2.728757590512331,0.006357341739041396,1.007702188808882,6.145778213022881
cdd65_2023,0.00046128555839166697,0.00014084735039338321,3.275074448353538,0.001056341315020848,0.00018522982430274246,0.0007373412924805915
hdd65_2023,0.00010131509930563671,7.920473245326481e-05,1.2791546182599411,0.2008426132060539,-5.3923323707893124e-05,0.00025655352231916656
ghi_mean_kwh_m2_day_2023,0.07869192779475848,0.24597775033619926,0.3199148202924994,0.7490329028520208,-0.40341560386237724,0.5607994594518941
log_median_housing_value,-0.9738830634831022,0.24687014270237903,-3.94492040561257,7.982648940454095e-05,-1.4577396520380286,-0.49002647492817564
