outcome,model,model_version,k,n,morans_i,expected_i,p_value,perm_sd
y_pv,M1 baseline,Model 1 baseline (climate controls),4,1390,0.48036650761890304,-0.0007199424046076314,0.001,0.018160605945560744
y_pv,M1 baseline,Model 1 baseline (climate controls),8,1390,0.4365455897821579,-0.0007199424046076314,0.001,0.01250389541557652
y_pv,M1 baseline,Model 1 baseline (climate controls),16,1390,0.3812212902341976,-0.0007199424046076314,0.001,0.008821392515573984
y_pv,M6A + lat/lon,Model 6A lat and lon,4,1390,0.46967844719283736,-0.0007199424046076314,0.001,0.01795110034124714
y_pv,M6A + lat/lon,Model 6A lat and lon,8,1390,0.4263893989948669,-0.0007199424046076314,0.001,0.012405319763262888
y_pv,M6A + lat/lon,Model 6A lat and lon,16,1390,0.3697888143911666,-0.0007199424046076314,0.001,0.009050413079433427
y_pv,M6B county FE,Model 6B county fe,4,1390,0.19304224235132622,-0.0007199424046076314,0.001,0.01835352315872661
y_pv,M6B county FE,Model 6B county fe,8,1390,0.14484267137742454,-0.0007199424046076314,0.001,0.012563721863161405
y_pv,M6B county FE,Model 6B county fe,16,1390,0.10342552818698442,-0.0007199424046076314,0.001,0.008572381406785757
y_pv,M8 + demand proxy,Model 8 add demand proxy,4,1196,0.4074060233849299,-0.0008368200836820083,0.001,0.018917043632797576
y_pv,M8 + demand proxy,Model 8 add demand proxy,8,1196,0.3585899822881071,-0.0008368200836820083,0.001,0.013410301005843974
y_pv,M8 + demand proxy,Model 8 add demand proxy,16,1196,0.3016662001034837,-0.0008368200836820083,0.001,0.009767608362626348
y_storage,M1 baseline,Model 1 baseline (climate controls),4,1390,0.3530250265273783,-0.0007199424046076314,0.001,0.017746217938190853
y_storage,M1 baseline,Model 1 baseline (climate controls),8,1390,0.31946900446331694,-0.0007199424046076314,0.001,0.01255896767359192
y_storage,M1 baseline,Model 1 baseline (climate controls),16,1390,0.26177660776190675,-0.0007199424046076314,0.001,0.008907961363276224
y_storage,M6A + lat/lon,Model 6A lat and lon,4,1390,0.34741389279879975,-0.0007199424046076314,0.001,0.01717507621503443
y_storage,M6A + lat/lon,Model 6A lat and lon,8,1390,0.3143736599217842,-0.0007199424046076314,0.001,0.012449460113133554
y_storage,M6A + lat/lon,Model 6A lat and lon,16,1390,0.25918308478391466,-0.0007199424046076314,0.001,0.00917144683505625
y_storage,M6B county FE,Model 6B county fe,4,1390,0.12733984878238358,-0.0007199424046076314,0.001,0.017302644234442728
y_storage,M6B county FE,Model 6B county fe,8,1390,0.0957041099886743,-0.0007199424046076314,0.001,0.012606601524070522
y_storage,M6B county FE,Model 6B county fe,16,1390,0.06459459641162638,-0.0007199424046076314,0.001,0.00896711532020711
y_storage,M8 + demand proxy,Model 8 add demand proxy,4,1196,0.16568253230215146,-0.0008368200836820083,0.001,0.01924228179499394
y_storage,M8 + demand proxy,Model 8 add demand proxy,8,1196,0.1498483562338434,-0.0008368200836820083,0.001,0.01396603126204809
y_storage,M8 + demand proxy,Model 8 add demand proxy,16,1196,0.12901558506290703,-0.0008368200836820083,0.001,0.008960810309854237
y_chargers,M1 baseline,Model 1 baseline (climate controls),4,1390,0.16638078420078262,-0.0007199424046076314,0.001,0.018081362021942826
y_chargers,M1 baseline,Model 1 baseline (climate controls),8,1390,0.14009455937027865,-0.0007199424046076314,0.001,0.012254058001232393
y_chargers,M1 baseline,Model 1 baseline (climate controls),16,1390,0.09292679205283592,-0.0007199424046076314,0.001,0.00875031488089552
y_chargers,M6A + lat/lon,Model 6A lat and lon,4,1390,0.16000729630712637,-0.0007199424046076314,0.001,0.017208151901958773
y_chargers,M6A + lat/lon,Model 6A lat and lon,8,1390,0.13204649991395623,-0.0007199424046076314,0.001,0.012379540395865647
y_chargers,M6A + lat/lon,Model 6A lat and lon,16,1390,0.08365555973833329,-0.0007199424046076314,0.001,0.008463827336936059
y_chargers,M6B county FE,Model 6B county fe,4,1390,0.09939906096339186,-0.0007199424046076314,0.001,0.018044921954548456
y_chargers,M6B county FE,Model 6B county fe,8,1390,0.07776499674587545,-0.0007199424046076314,0.001,0.012324402291331244
y_chargers,M6B county FE,Model 6B county fe,16,1390,0.03931537201264894,-0.0007199424046076314,0.001,0.009033724017715879
y_chargers,M8 + demand proxy,Model 8 add demand proxy,4,1196,0.16162651647763387,-0.0008368200836820083,0.001,0.01940858507448126
y_chargers,M8 + demand proxy,Model 8 add demand proxy,8,1196,0.12701307366856643,-0.0008368200836820083,0.001,0.013838800765560396
y_chargers,M8 + demand proxy,Model 8 add demand proxy,16,1196,0.08552520249280124,-0.0008368200836820083,0.001,0.009267202556705753
y_level2_chargers,M1 baseline,Model 1 baseline (climate controls),4,1390,0.19307718162602686,-0.0007199424046076314,0.001,0.0178782481273659
y_level2_chargers,M1 baseline,Model 1 baseline (climate controls),8,1390,0.16226402558042605,-0.0007199424046076314,0.001,0.012742797015005603
y_level2_chargers,M1 baseline,Model 1 baseline (climate controls),16,1390,0.11355893641430227,-0.0007199424046076314,0.001,0.00863817580312004
y_level2_chargers,M6A + lat/lon,Model 6A lat and lon,4,1390,0.1842473194843391,-0.0007199424046076314,0.001,0.017225173381799182
y_level2_chargers,M6A + lat/lon,Model 6A lat and lon,8,1390,0.15239728961367166,-0.0007199424046076314,0.001,0.012629672568399383
y_level2_chargers,M6A + lat/lon,Model 6A lat and lon,16,1390,0.10209576835960608,-0.0007199424046076314,0.001,0.00882503411034953
y_level2_chargers,M6B county FE,Model 6B county fe,4,1390,0.1251849182382472,-0.0007199424046076314,0.001,0.01713566678898219
y_level2_chargers,M6B county FE,Model 6B county fe,8,1390,0.10021052434428027,-0.0007199424046076314,0.001,0.012221506792804678
y_level2_chargers,M6B county FE,Model 6B county fe,16,1390,0.057607227021622284,-0.0007199424046076314,0.001,0.009113249186028398
y_level2_chargers,M8 + demand proxy,Model 8 add demand proxy,4,1196,0.19128114769659335,-0.0008368200836820083,0.001,0.019575028088524283
y_level2_chargers,M8 + demand proxy,Model 8 add demand proxy,8,1196,0.1487946815808117,-0.0008368200836820083,0.001,0.013641795143792951
y_level2_chargers,M8 + demand proxy,Model 8 add demand proxy,16,1196,0.10380178771588779,-0.0008368200836820083,0.001,0.009700480052260645
energy_burden_pct,M1 baseline,Model 1 baseline (climate controls),4,1374,0.41232058197917754,-0.0007283321194464676,0.001,0.017603677542491418
energy_burden_pct,M1 baseline,Model 1 baseline (climate controls),8,1374,0.3523702642514002,-0.0007283321194464676,0.001,0.012846515325507827
energy_burden_pct,M1 baseline,Model 1 baseline (climate controls),16,1374,0.2728003793948022,-0.0007283321194464676,0.001,0.008951256932886667
energy_burden_pct,M6A + lat/lon,Model 6A lat and lon,4,1374,0.48411911426494747,-0.0007283321194464676,0.001,0.017866418328855063
energy_burden_pct,M6A + lat/lon,Model 6A lat and lon,8,1374,0.4344978542686465,-0.0007283321194464676,0.001,0.012388473280626611
energy_burden_pct,M6A + lat/lon,Model 6A lat and lon,16,1374,0.3697220221639019,-0.0007283321194464676,0.001,0.00871342887441371
energy_burden_pct,M6B county FE,Model 6B county fe,4,1374,0.33986527005493683,-0.0007283321194464676,0.001,0.018362659183135854
energy_burden_pct,M6B county FE,Model 6B county fe,8,1374,0.275265818537085,-0.0007283321194464676,0.001,0.012352850148559313
energy_burden_pct,M6B county FE,Model 6B county fe,16,1374,0.21343611054845635,-0.0007283321194464676,0.001,0.008669141632865553
energy_burden_pct,M8 + demand proxy,Model 8 add demand proxy,4,1186,0.32571755223914,-0.0008438818565400844,0.001,0.018639378056826056
energy_burden_pct,M8 + demand proxy,Model 8 add demand proxy,8,1186,0.2885621815563254,-0.0008438818565400844,0.001,0.013238167006830802
energy_burden_pct,M8 + demand proxy,Model 8 add demand proxy,16,1186,0.21922708562789123,-0.0008438818565400844,0.001,0.009758765919653661
log_energy_gap_per_capita,M1 baseline,Model 1 baseline (climate controls),4,1374,0.19224074767360044,-0.0007283321194464676,0.001,0.01736010737184694
log_energy_gap_per_capita,M1 baseline,Model 1 baseline (climate controls),8,1374,0.15347079347309894,-0.0007283321194464676,0.001,0.012872098411660355
log_energy_gap_per_capita,M1 baseline,Model 1 baseline (climate controls),16,1374,0.09629423114600821,-0.0007283321194464676,0.001,0.009203656026637934
log_energy_gap_per_capita,M6A + lat/lon,Model 6A lat and lon,4,1374,0.17841057858377185,-0.0007283321194464676,0.001,0.017341392306826506
log_energy_gap_per_capita,M6A + lat/lon,Model 6A lat and lon,8,1374,0.14185658420935957,-0.0007283321194464676,0.001,0.012850348278667423
log_energy_gap_per_capita,M6A + lat/lon,Model 6A lat and lon,16,1374,0.0842827899688607,-0.0007283321194464676,0.001,0.008638282552618462
log_energy_gap_per_capita,M6B county FE,Model 6B county fe,4,1374,0.15064724536829457,-0.0007283321194464676,0.001,0.01798948169598622
log_energy_gap_per_capita,M6B county FE,Model 6B county fe,8,1374,0.11203846713400475,-0.0007283321194464676,0.001,0.012519755755036558
log_energy_gap_per_capita,M6B county FE,Model 6B county fe,16,1374,0.055025144968887975,-0.0007283321194464676,0.001,0.009258205883006857
log_energy_gap_per_capita,M8 + demand proxy,Model 8 add demand proxy,4,1186,0.16468734210254315,-0.0008438818565400844,0.001,0.019395687663885795
log_energy_gap_per_capita,M8 + demand proxy,Model 8 add demand proxy,8,1186,0.12660405210785844,-0.0008438818565400844,0.001,0.013857483717591578
log_energy_gap_per_capita,M8 + demand proxy,Model 8 add demand proxy,16,1186,0.07903944185621956,-0.0008438818565400844,0.001,0.009765676052585041
