outcome,blocks,term,coef,se,pval,nobs,rsquared
y_pv,none,log_median_household_income,1.090282024493121,0.20870730475940924,1.7512115446073417e-07,1390,0.07376409912895687
y_pv,none,pct_black,-3.412136580169858,0.7354032253903878,3.4871739627710258e-06,1390,0.07376409912895687
y_pv,none,pct_hispanic,0.914776960159305,0.24502540926059568,0.0001889149826969362,1390,0.07376409912895687
y_pv,none,pct_asian,-2.1028819712670295,0.30751340998905746,8.01147670329918e-12,1390,0.07376409912895687
y_pv,education,log_median_household_income,1.6724161774953132,0.2733365772582872,9.444655945629807e-10,1390,0.08144203652736448
y_pv,education,pct_black,-3.3885121300097274,0.7302887946993148,3.484735420410632e-06,1390,0.08144203652736448
y_pv,education,pct_hispanic,0.3764266979435119,0.31137850292226366,0.2266997536240919,1390,0.08144203652736448
y_pv,education,pct_asian,-1.8909123325566304,0.31207226956483664,1.367892127210356e-09,1390,0.08144203652736448
y_pv,housing_value,log_median_household_income,1.9546668194645473,0.25942883553321433,4.902057700473365e-14,1382,0.08907515587925074
y_pv,housing_value,pct_black,-2.7742736974214095,0.7196981162022288,0.00011583651247100715,1382,0.08907515587925074
y_pv,housing_value,pct_hispanic,0.8352209817147027,0.2403711703860689,0.0005113989792850243,1382,0.08907515587925074
y_pv,housing_value,pct_asian,-1.9249767692949489,0.3176655807343528,1.36325896848444e-09,1382,0.08907515587925074
y_pv,housing_structure,log_median_household_income,1.3877771152422151,0.2063105911903389,1.7362536018333275e-11,1390,0.1277094563759954
y_pv,housing_structure,pct_black,-1.6082440829750337,0.6536365090954184,0.013876045988199167,1390,0.1277094563759954
y_pv,housing_structure,pct_hispanic,1.055026909303914,0.24035822707778606,1.1366707638960264e-05,1390,0.1277094563759954
y_pv,housing_structure,pct_asian,-1.0950633291333787,0.32132080228999726,0.0006543937591161466,1390,0.1277094563759954
y_pv,tenure,log_median_household_income,0.9997750211891896,0.20421989855844472,9.80157912852599e-07,1390,0.1179397021745704
y_pv,tenure,pct_black,-2.163119035099479,0.6632122346270157,0.0011079359218790963,1390,0.1179397021745704
y_pv,tenure,pct_hispanic,1.3083981754593998,0.24727844383134776,1.2152049298003248e-07,1390,0.1179397021745704
y_pv,tenure,pct_asian,-1.2149946103094984,0.312768800315896,0.00010248106280212235,1390,0.1179397021745704
y_pv,utility_fe,log_median_household_income,0.7877823407406606,0.20527598973852443,0.00012420519185249652,1291,0.08480805126295743
y_pv,utility_fe,pct_black,-3.690358197612404,0.7906828677231355,3.051759703325644e-06,1291,0.08480805126295743
y_pv,utility_fe,pct_hispanic,0.7025562065067785,0.23775541069206113,0.0031271607952643287,1291,0.08480805126295743
y_pv,utility_fe,pct_asian,-1.9738673888556462,0.3094500112391786,1.786781420327481e-10,1291,0.08480805126295743
y_pv,county_fe,log_median_household_income,1.121302427407783,0.20824509117994167,7.263324583705922e-08,1390,0.5800597388379511
y_pv,county_fe,pct_black,-0.12438333923532907,0.5238629966391466,0.812319445519578,1390,0.5800597388379511
y_pv,county_fe,pct_hispanic,0.4440361682452336,0.22810552413571533,0.0515795764373245,1390,0.5800597388379511
y_pv,county_fe,pct_asian,-0.40093198448247847,0.2801263911471252,0.15235746637113093,1390,0.5800597388379511
y_pv,education+housing_value,log_median_household_income,2.020403911395163,0.26691797977087983,3.750065141080713e-14,1382,0.08937932987820263
y_pv,education+housing_value,pct_black,-2.809556625034521,0.7240735046261961,0.00010436668816279855,1382,0.08937932987820263
y_pv,education+housing_value,pct_hispanic,0.7103931428967857,0.3292064805784808,0.030935966930257665,1382,0.08937932987820263
y_pv,education+housing_value,pct_asian,-1.9045844489960364,0.31766988254885126,2.0288125038232186e-09,1382,0.08937932987820263
y_pv,education+housing_structure,log_median_household_income,0.8722683777931846,0.2902275481997214,0.0026517619511954547,1390,0.1322241073597915
y_pv,education+housing_structure,pct_black,-1.2333738086824797,0.6476187023726067,0.05684831330999817,1390,0.1322241073597915
y_pv,education+housing_structure,pct_hispanic,1.6054588757524262,0.3599627536867016,8.193310379993526e-06,1390,0.1322241073597915
y_pv,education+housing_structure,pct_asian,-1.0683997661743423,0.320444367287002,0.0008556993202587989,1390,0.1322241073597915
y_pv,education+tenure,log_median_household_income,0.6766209605668858,0.3087272800881367,0.028405065512581405,1390,0.11943038002949213
y_pv,education+tenure,pct_black,-2.017391700492131,0.6553259037752815,0.0020807653105746433,1390,0.11943038002949213
y_pv,education+tenure,pct_hispanic,1.646545126916344,0.38474084181449736,1.872115292807483e-05,1390,0.11943038002949213
y_pv,education+tenure,pct_asian,-1.2158997657408885,0.31206578550852626,9.767617545594798e-05,1390,0.11943038002949213
y_pv,education+utility_fe,log_median_household_income,1.2811012623809357,0.28462498474232734,6.762980327931378e-06,1291,0.09029385476046059
y_pv,education+utility_fe,pct_black,-3.791074708831164,0.7862477849019495,1.4231833698869819e-06,1291,0.09029385476046059
y_pv,education+utility_fe,pct_hispanic,0.22177835148243658,0.30571555868016576,0.4681820277376091,1291,0.09029385476046059
y_pv,education+utility_fe,pct_asian,-1.8430348427355865,0.3126703538643901,3.7582166011874046e-09,1291,0.09029385476046059
y_pv,county_fe+education,log_median_household_income,1.587055523590065,0.2444063217253975,8.385776286387952e-11,1390,0.5865662042506621
y_pv,county_fe+education,pct_black,-0.39296235552058434,0.5251508407043164,0.45428843248678163,1390,0.5865662042506621
y_pv,county_fe+education,pct_hispanic,-0.3684486853279604,0.3531279103916875,0.2967695976293744,1390,0.5865662042506621
y_pv,county_fe+education,pct_asian,-0.400122712906264,0.2775033996645207,0.14934018345272432,1390,0.5865662042506621
y_pv,housing_structure+housing_value,log_median_household_income,1.3865577597210654,0.25088708292800305,3.264575892839198e-08,1382,0.12852991902807576
y_pv,housing_structure+housing_value,pct_black,-1.3902527379980762,0.6201837927266337,0.02498215175497883,1382,0.12852991902807576
y_pv,housing_structure+housing_value,pct_hispanic,1.0625348512683614,0.24721451208530537,1.7232453594363313e-05,1382,0.12852991902807576
y_pv,housing_structure+housing_value,pct_asian,-1.2078474832304842,0.3165318692531512,0.00013569869791991475,1382,0.12852991902807576
y_pv,housing_value+tenure,log_median_household_income,1.161172550967545,0.28640940282808897,5.02974870628377e-05,1382,0.11828612102165359
y_pv,housing_value+tenure,pct_black,-1.975118136050238,0.6467622342079911,0.002259211854722582,1382,0.11828612102165359
y_pv,housing_value+tenure,pct_hispanic,1.3242544938028025,0.25640133489571737,2.407318834479285e-07,1382,0.11828612102165359
y_pv,housing_value+tenure,pct_asian,-1.2910265747097291,0.30925890103200493,2.9853396223538165e-05,1382,0.11828612102165359
y_pv,housing_value+utility_fe,log_median_household_income,1.7023918423064193,0.24638457482691434,4.863979526073198e-12,1283,0.10030232641190073
y_pv,housing_value+utility_fe,pct_black,-3.243034314356539,0.7565240969340314,1.8130113300790907e-05,1283,0.10030232641190073
y_pv,housing_value+utility_fe,pct_hispanic,0.5804874900312947,0.22812238902331064,0.010939301328350078,1283,0.10030232641190073
y_pv,housing_value+utility_fe,pct_asian,-1.8727217006624843,0.31691693905421287,3.4379864221119056e-09,1283,0.10030232641190073
y_pv,county_fe+housing_value,log_median_household_income,1.5327215878845646,0.22299490997686514,6.271238710837188e-12,1382,0.5901723208108556
y_pv,county_fe+housing_value,pct_black,-0.018848576132700967,0.49395176099668714,0.9695611187394263,1382,0.5901723208108556
y_pv,county_fe+housing_value,pct_hispanic,0.23538430751310346,0.2418564835864299,0.3304342333109713,1382,0.5901723208108556
y_pv,county_fe+housing_value,pct_asian,-0.6387242039145462,0.2725088249795714,0.01908502035467749,1382,0.5901723208108556
y_pv,housing_structure+tenure,log_median_household_income,1.319576875846007,0.21371542992214984,6.639096456359389e-10,1390,0.12868421634714022
y_pv,housing_structure+tenure,pct_black,-1.622550035982614,0.6529386292359776,0.012955280444634922,1390,0.12868421634714022
y_pv,housing_structure+tenure,pct_hispanic,1.1481031667321182,0.26481374490977405,1.4542124573808697e-05,1390,0.12868421634714022
y_pv,housing_structure+tenure,pct_asian,-1.0668080693832418,0.3197903734108642,0.0008500522598000336,1390,0.12868421634714022
y_pv,housing_structure+utility_fe,log_median_household_income,1.0864990309051084,0.20174539411024298,7.224510612441856e-08,1291,0.13392290924993333
