feature,VIF
wind_capacity_mw,12.226121156065876
wind_turbine_count,12.21602396485592
log_median_household_income,7.839174278844248
pct_bachelors_plus,7.823838742182484
owner_occupied_rate,6.137869259307208
log_median_housing_value,5.707866164687346
pct_multifamily_units,5.3954918327437635
pct_hispanic,3.1461729868855866
poverty_rate,2.838751127620501
PV_system_size_DC,1.7972570061931847
storage_capacity_mw,1.6693682421300606
pct_mobile_home_units,1.6226158319787054
pct_asian,1.3956894013381138
log_kwh,1.2561160601557488
pct_black,1.1625340348006814
pct_other_housing_units,1.1286741617289107
plant_capacity_mw,1.0917212505766059
