n_pc,k,explained_variance,silhouette,calinski_harabasz,davies_bouldin,inertia
2,2,0.3370087018304496,0.3367243545159634,828.1194415948866,1.149080221341244,10562.396948465037
2,3,0.3370087018304496,0.3524032662330766,923.9901972175215,0.9400601212753399,7230.465640059205
2,4,0.3370087018304496,0.3445455002380353,931.84908197011,0.8857615039223234,5589.650295626678
2,5,0.3370087018304496,0.33036371529936187,903.5146019227781,0.9060392372788252,4672.210942511859
2,6,0.3370087018304496,0.3482747413710624,959.377491250918,0.8544961320946202,3776.101592787043
2,7,0.3370087018304496,0.3373485690656883,936.5125675313726,0.8810332522141902,3330.8403156697836
2,8,0.3370087018304496,0.3358019294596913,944.0999360220567,0.8831031436076584,2916.728090527589
3,2,0.409461846198976,0.28295411885103805,616.6809958404344,1.3553293012593721,14186.513656409647
3,3,0.409461846198976,0.29340507435253355,635.3146433273357,1.141072118275759,10693.325859942915
3,4,0.409461846198976,0.29477045111253214,634.6979950449453,1.079918668322597,8631.487925466792
3,5,0.409461846198976,0.2798136540687472,625.6354696116849,1.0267128626850583,7299.707095862024
3,6,0.409461846198976,0.28536197060150764,608.6097788853627,1.006763896163289,6405.534223691082
3,7,0.409461846198976,0.2902704037923106,612.0135858566438,1.0296565485579199,5605.677264947253
3,8,0.409461846198976,0.28317617354124225,607.639535228342,1.0129380175112426,5024.676686014015
5,2,0.5280995914565751,0.238111598277774,437.34791283959805,1.565844668386395,20094.509846460933
5,3,0.5280995914565751,0.23875289591485047,411.319468613745,1.3865860155673932,16587.80810414922
5,4,0.5280995914565751,0.24804409543590583,386.9025637373324,1.3096562630134923,14381.933056423943
5,5,0.5280995914565751,0.23965008727575193,372.7073554889539,1.226913508633084,12726.816530322276
5,6,0.5280995914565751,0.23698797331904514,359.9822237218636,1.0824798355536187,11487.044066152439
5,7,0.5280995914565751,0.2445504019768196,357.7505744360525,1.1147077185309497,10354.79969672755
5,8,0.5280995914565751,0.24905201771521485,353.26910682137543,1.0729586880672461,9473.923859930876
8,2,0.6692291860345037,0.20092849354290104,324.60023170796006,1.7861723757261652,27140.987286243304
8,3,0.6692291860345037,0.19396077121245628,290.0034609159577,1.6372116226186435,23613.629607096518
8,4,0.6692291860345037,0.20054329375678273,269.26190894942835,1.2971431763455465,21157.410014112826
8,5,0.6692291860345037,0.21805520110980134,270.8774692743363,1.1959540769779804,18789.14759876675
8,6,0.6692291860345037,0.20972157236760142,267.3465618440462,1.2885556537098408,17035.009113816574
8,7,0.6692291860345037,0.20579196597361882,269.7840734370679,1.2720224323158564,15429.307211623383
8,8,0.6692291860345037,0.17942544584550557,262.20731813541386,1.2589604954113875,14384.283856974078
10,2,0.7315275851515546,0.18813015851973156,291.74436887114257,1.8742706837638572,30247.833993449174
10,3,0.7315275851515546,0.1815217489127323,258.7418114481087,1.7201432350676864,26659.207026140524
10,4,0.7315275851515546,0.18861325742524326,236.8334540011152,1.3635325018657534,24200.05188639336
10,5,0.7315275851515546,0.188222693811478,231.0901537582619,1.4166864739772183,21953.614160531142
10,6,0.7315275851515546,0.2001440819137661,229.87487429267105,1.3571451202877938,19997.915361533156
10,7,0.7315275851515546,0.1928549983230788,228.99591142629194,1.346005778527179,18362.73162260819
10,8,0.7315275851515546,0.16060450715274832,220.77493665845245,1.328632433566999,17281.920195052004
12,2,0.7850043121810822,0.17994981220469686,268.15113136157805,1.9398780808130747,32921.4415715516
12,3,0.7850043121810822,0.17199147060433959,235.1927390767353,1.7859414267368043,29333.78094964764
12,4,0.7850043121810822,0.17898742613082913,213.30781568116453,1.4161837838521476,26873.913465655787
12,5,0.7850043121810822,0.19459612843490934,209.17497692124488,1.3249363383146722,24488.022738464686
12,6,0.7850043121810822,0.18568337874836258,203.00394935735054,1.4209984413235162,22661.654333804723
12,7,0.7850043121810822,0.18231853415955931,200.29273877447855,1.4185586593344506,21018.02473134367
12,8,0.7850043121810822,0.146426790022273,191.80953638357386,1.3970756044263413,19924.342276626732
15,2,0.8520301810290524,0.16571129004782234,243.3937686480793,2.0415363390299857,36274.659008464114
15,3,0.8520301810290524,0.15804608213080915,211.58273680353287,1.914605026828298,32668.6730222503
15,4,0.8520301810290524,0.16005231407175594,190.06528776767198,1.533555656912765,30208.083560084666
15,5,0.8520301810290524,0.15940592178210589,181.9924214599639,1.5659935247712706,27946.5876410904
15,6,0.8520301810290524,0.16952397637157804,177.52786922353292,1.517259242224618,25975.80334170512
15,7,0.8520301810290524,0.1645855072740806,173.8188752344798,1.520011508966896,24306.318988767358
15,8,0.8520301810290524,0.13522811495815185,165.19400807188597,1.482471006663039,23212.849770465247
