,Coef.,Std.Err.,z,P>|z|,[0.025,0.975]
Intercept,0.4320228033222384,0.1411661356640142,3.0603855612402997,0.0022105221944267416,0.15534226158407533,0.7087033450604014
log_median_household_income_c,0.14545347193464067,0.1640498502422839,0.8866419062243678,0.37527172448016344,-0.17607832620942523,0.4669852700787066
pct_black_c,-0.8905359149579403,0.3360107656155266,-2.6503195911791635,0.008041566213026265,-1.549104913982102,-0.2319669159337785
pct_hispanic_c,-0.8746878988849751,0.11723710287953411,-7.460845392808388,8.596908105371901e-14,-1.104468398180679,-0.6449073995892712
pct_asian_c,-0.36627110487843156,0.16091678196301415,-2.2761523093509104,0.022836895165166734,-0.681662202034024,-0.05088000772283924
poverty_rate,3.480022874318154,0.8305019606078454,4.190264489888887,2.7862947962876963e-05,1.8522689424368741,5.107776806199434
cdd65_2023,-0.00013857989541900582,3.5462063331414766e-05,-3.907835089117392,9.312683298140335e-05,-0.00020808426236605725,-6.907552847195439e-05
hdd65_2023,3.920660173870564e-05,2.8262847758104078e-05,1.3872134214593983,0.16537669404269928,-1.6187561967716962e-05,9.460076544512824e-05
log_median_household_income_c:pct_black_c,-0.4984450183694159,1.0157407190708172,-0.4907207213523793,0.6236239886621933,-2.4892602453790342,1.4923702086402026
log_median_household_income_c:pct_hispanic_c,-0.2965403112972518,0.38773591741363744,-0.7647996947904674,0.44439082955565556,-1.056488744940578,0.4634081223460744
log_median_household_income_c:pct_asian_c,1.182144894541015,0.3940716522080291,2.999822209786774,0.0027013723621385683,0.40977864888508386,1.954511140196946
