outcome,term,n,coef,se_hc1,p_hc1,se_conley_25km,p_conley_25km,se_conley_50km,p_conley_50km,se_conley_100km,p_conley_100km,se_conley_200km,p_conley_200km
y_pv,log_median_household_income,1390,0.1259384023877034,0.038257779658553724,0.0009953502646273815,0.048291687059679345,0.0091107765822942,0.05285103213780766,0.01717714399365211,0.055891456478611067,0.024242287671405238,0.05330790646453808,0.01815354396734481
y_pv,pct_black,1390,-0.7602862420307099,0.10899703185755087,3.0524471839044054e-12,0.1339030858998396,1.3637082352246921e-08,0.17252820127940927,1.0493994308191645e-05,0.2371058743976179,0.0013434798440246087,0.29817122521592065,0.010777514014242762
y_pv,pct_hispanic,1390,0.017109620030041708,0.04837967878337584,0.7235989265229148,0.09056635083368664,0.8501570323074392,0.10492515136540269,0.8704672551862156,0.12169764689039445,0.8881928887746824,0.1442789167730214,0.9056024766082598
y_pv,pct_asian,1390,-0.5792455049164914,0.0483455134265254,0.0,0.0643112050193612,0.0,0.07089932187273146,2.220446049250313e-16,0.08522344368273548,1.0697887020683083e-11,0.08477971935107709,8.352873948069828e-12
y_pv,poverty_rate,1390,-0.04671996699296458,0.21921731874353456,0.8312320415911856,0.24571917457530335,0.8492028603961375,0.2399620519361764,0.8456299147291937,0.25423695686456366,0.8541974669365162,0.25911894757056353,0.8569145691591242
y_storage,log_median_household_income,1390,0.7705269980846554,0.12221114506347788,2.88411294846469e-10,0.17296865711667542,8.40026122839177e-06,0.17637803017532894,1.2503927532936387e-05,0.17873124628109852,1.624496688168442e-05,0.16791015484715002,4.455358434851675e-06
y_storage,pct_black,1390,-1.6524175942273625,0.3284836087699616,4.893515541670723e-07,0.3886107705833926,2.117612886465281e-05,0.4639778673038554,0.00036886195611773864,0.5574894855399074,0.003036350828383938,0.6439281750022269,0.01028337451307526
y_storage,pct_hispanic,1390,-0.6118990733117904,0.12597394772347273,1.1896949441148053e-06,0.19145140424566118,0.0013929569637070038,0.20524702748324994,0.0028704522597498006,0.21266958611156775,0.0040118450107282655,0.18170711080795957,0.0007585245467707225
y_storage,pct_asian,1390,-1.780445300746917,0.16152612409213007,0.0,0.2335127484571061,2.4424906541753444e-14,0.2919181017140765,1.066499333290949e-09,0.3441639878534556,2.300606249949766e-07,0.3388005238765402,1.479092652800773e-07
y_storage,poverty_rate,1390,-0.22785456674842602,0.5623315384828813,0.6853333447784022,0.6572490862748379,0.7288323618717274,0.6807566715929474,0.7378455182239798,0.7104905880251293,0.7484374964295486,0.6819645307640206,0.738292795271404
y_chargers,log_median_household_income,1390,0.1643072582871562,0.09766053504822007,0.09248500337907983,0.11919585448853512,0.1680599098872939,0.12964425520014022,0.20502297034592143,0.11959572617972881,0.16948651562525163,0.10243729629934448,0.10871871128006783
y_chargers,pct_black,1390,-0.00687695306792713,0.34328856298250704,0.9840173885805326,0.2612693297060705,0.9790010516266361,0.27520530544366867,0.9800641790425055,0.2935455690869958,0.9813095022127298,0.2853534618748974,0.980773026034389
y_chargers,pct_hispanic,1390,-0.398983836783599,0.1046771367545985,0.00013808905958323514,0.14204593513968083,0.004972085871639331,0.15610099543848344,0.01059032132347082,0.16532309990730243,0.015806282767426127,0.1733590583734127,0.021364048491738563
y_chargers,pct_asian,1390,0.4102996928591523,0.1464778970911382,0.005092824403141405,0.2027264211641468,0.04297958451441475,0.20651779540630397,0.04694985947726216,0.21795731554990957,0.05977124290177116,0.19735311076189377,0.03761615095561743
y_chargers,poverty_rate,1390,2.0027668283179016,0.49669725521489627,5.526463271876558e-05,0.5877407808267133,0.0006554451281568507,0.6413573386323551,0.001792000520249415,0.6739571492699504,0.002962011850386137,0.6922316175450525,0.003813343331747321
