feature,VIF
log_median_household_income,3.1183777058134257
poverty_rate,2.60239204094037
pct_hispanic,1.352924090027825
pct_asian,1.2560723131550624
wind_ws50m_mean_2023,1.0486754655316006
pct_black,1.0378928225776718
