,Coef.,Std.Err.,z,P>|z|,[0.025,0.975]
Intercept,0.6662408364276369,0.044883317942734605,14.843841029704517,7.626140873506863e-50,0.5782711497532167,0.754210523102057
C(utility)[T.San Diego Gas & Electric],0.054656529223182336,0.0638739417410759,0.8556936950085539,0.3921672286226495,-0.07053409613993605,0.17984715458630074
C(utility)[T.Southern California Edison],0.053443397578184906,0.05820290914024328,0.918225538338813,0.3585008011005042,-0.06063220813214905,0.16751900328851888
log_median_household_income,0.06744716900170437,0.057543450935696606,1.172108518084446,0.24115349046304624,-0.04533592237840865,0.1802302603818174
pct_black,-0.009048250480711301,0.014269061761153615,-0.6341167087344484,0.5260046591702412,-0.03701509762575006,0.01891859666432746
pct_hispanic,-0.08975775860978027,0.04098917618273125,-2.189791719883242,0.028539345519336616,-0.17009506768390048,-0.009420449535660055
pct_asian,0.053349646340332145,0.03356978200206465,1.5892163475190564,0.11201155697729312,-0.01244591735257549,0.11914521003323977
poverty_rate,0.14352719471168596,0.04121191956341248,3.482662206278494,0.0004964543601121457,0.06275331663363583,0.2243010727897361
cdd65_2023,-0.12711861203658475,0.040288686597539584,-3.1551937472279836,0.0016039155529468901,-0.2060829867521839,-0.0481542373209856
hdd65_2023,-0.013577700181742801,0.04039210548098511,-0.3361473738509275,0.7367597356103632,-0.09274477218421653,0.06558937182073094
