,Coef.,Std.Err.,z,P>|z|,[0.025,0.975]
Intercept,0.02757164376623051,0.03078401888751236,0.8956479615926639,0.3704408114893464,-0.032763924552694494,0.0879072120851555
C(utility)[T.San Diego Gas & Electric],0.10579952549313258,0.10491471560291554,1.0084336109108458,0.31324634413408625,-0.09982953853684436,0.31142858952310953
C(utility)[T.Southern California Edison],0.21531335444428662,0.08347955075802137,2.5792347046572677,0.009901948409901091,0.05169644151298136,0.3789302673755919
log_median_household_income,-0.05780524152329075,0.03492990418245386,-1.6548926450341575,0.09794627646263177,-0.12626659570433532,0.010656112657753819
pct_black,0.020701861209062804,0.024876432668159282,0.8321876968943485,0.4053030072552243,-0.02805505088436503,0.06945877330249065
pct_hispanic,0.006622927598874536,0.027179004730344635,0.24367807668395647,0.8074801538957977,-0.04664694280824471,0.05989279800599378
pct_asian,-0.03288355457450773,0.018156771891963793,-1.8110903617763698,0.07012686523744588,-0.06847017355826594,0.0027030644092504857
poverty_rate,-0.01835633029649538,0.03138815941485491,-0.5848170341523108,0.558670749340545,-0.07987599229061282,0.043163331697622064
wind_ws50m_mean_2023,0.16311823085786076,0.04773086437009452,3.417458137633507,0.0006320881407780686,0.0695674557415094,0.2566690059742121
