,Coef.,Std.Err.,z,P>|z|,[0.025,0.975]
Intercept,0.5411237586606585,0.016599688929969096,32.59842765388893,4.317125006693342e-233,0.5085889662033509,0.5736585511179662
log_median_household_income,0.15391021046698292,0.03324124940939166,4.630097039117267,3.6549440576813804e-06,0.08875855882346192,0.2190618621105039
pct_black,0.025689315758726565,0.01972262065969099,1.3025305410467223,0.19273508461608324,-0.012966310415013373,0.06434494193246651
pct_hispanic,-0.10083528373878209,0.02111933841153007,-4.774547468008336,1.8011179834910342e-06,-0.14222842640269437,-0.0594421410748698
pct_asian,0.06941361970425947,0.019720929516077356,3.519794523258677,0.0004318812389023037,0.030761308111094933,0.108065931297424
poverty_rate,0.18067933158065874,0.03376650887106174,5.350844301689206,8.754482015517e-08,0.1144981903097255,0.246860472851592
t2m_mean_c_2023,-0.03892455123721005,0.021373089369261897,-1.8211944265385478,0.0685773074050038,-0.08081503663931927,0.002965934164899167
