feature,VIF
log_median_household_income,5.026327748024218
log_median_housing_value,4.537801141293599
cdd65_2023,2.8991321746981153
poverty_rate,2.6756412866038644
hdd65_2023,2.050001815097355
pct_hispanic,1.6434235887334088
ghi_mean_kwh_m2_day_2023,1.6243534086924352
pct_asian,1.3156514856867643
pct_black,1.083990040273051
