feature,VIF
pct_bachelors_plus,8.42792191005984
log_median_household_income,7.937218957815889
log_median_housing_value,7.266937248552193
owner_occupied_rate,6.186514989607395
pct_multifamily_units,5.4917705723768675
pct_hispanic,3.5036553734857767
cdd65_2023,2.896236543065811
poverty_rate,2.8262537518783972
hdd65_2023,1.7915587238852233
ghi_mean_kwh_m2_day_2023,1.6212301878220448
pct_mobile_home_units,1.6031761611322273
pct_asian,1.39511272413633
pct_black,1.166333758569238
pct_other_housing_units,1.1177254566123498
