feature,VIF
wind_capacity_mw,12.226076509738563
wind_turbine_count,12.213450179552565
pct_bachelors_plus,7.818834512324722
log_median_household_income,7.720120002503799
owner_occupied_rate,6.136412501926569
pct_multifamily_units,5.395220318492438
log_median_housing_value,5.339463078530296
pct_hispanic,3.1339736739227524
poverty_rate,2.8384832219091343
pct_mobile_home_units,1.6002188198324725
pct_asian,1.395052969179896
storage_capacity_mw,1.2800187522213158
log_kwh,1.2031197769831425
pct_black,1.1619086697751022
pct_other_housing_units,1.1265828503875668
plant_capacity_mw,1.0570691647109753
