,Coef.,Std.Err.,z,P>|z|,[0.025,0.975]
Intercept,1.705081623718619,0.021508608241353876,79.27438189330708,0.0,1.662925526207984,1.747237721229254
log_median_household_income,0.21420896311888937,0.047895198850075905,4.472451691649045,7.732787288436285e-06,0.12033609834035638,0.30808182789742233
pct_black,-0.05865252220577082,0.017193230433407026,-3.411373007123024,0.000646366023742817,-0.09235063463314658,-0.024954409778395067
pct_hispanic,-0.14929915914723899,0.030050209937975525,-4.968323331364294,6.753428899101891e-07,-0.20819648835353863,-0.09040182994093934
pct_asian,-0.17271272758175782,0.020286263265670432,-8.513777294512002,1.6835721634176567e-17,-0.21247307296336976,-0.13295238220014588
poverty_rate,0.10518013340233544,0.03949163013400223,2.663352539397342,0.007736631256520627,0.027777960648914357,0.18258230615575652
cdd65_2023,-0.12923775705233742,0.034125385621459406,-3.7871442241246807,0.00015238865570883967,-0.19612228382893887,-0.06235323027573597
hdd65_2023,-0.16371057181024928,0.03618064557259706,-4.524810688680536,6.044959074763862e-06,-0.23462333406994806,-0.09279780955055049
pct_multifamily_units,-0.20739701439447386,0.05926239203003394,-3.4996396076851894,0.00046588757120950283,-0.3235491684110339,-0.09124486037791381
pct_mobile_home_units,0.013613194594568393,0.03135603823735531,0.43414906218447646,0.664180199875212,-0.04784351104850881,0.0750699002376456
pct_other_housing_units,-0.04825235434271539,0.021467748618960256,-2.2476671959955334,0.024597419264249146,-0.09032836846503697,-0.006176340220393803
owner_occupied_rate,0.20336624103649484,0.06601575745052847,3.0805711983066377,0.002066039523265826,0.07397773402132729,0.3327547480516624
