,Coef.,Std.Err.,z,P>|z|,[0.025,0.975]
Intercept,0.2554005456037832,0.011339545134400926,22.522997402159568,2.4707815674556245e-112,0.233175445539291,0.27762564566827547
log_median_household_income,0.008767379608878563,0.0224284266710872,0.39090479851539095,0.6958676069317946,-0.035191528896349925,0.05272628811410705
pct_black,-0.012125973500283257,0.009969331189705536,-1.2163276823228322,0.22386012031791858,-0.031665503582057955,0.00741355658149144
pct_hispanic,0.000875452295673561,0.01686535167676349,0.05190833327713703,0.9586017342345914,-0.03218002957738509,0.03393093416873221
pct_asian,0.0164179617440221,0.009457812193815932,1.7359153901107403,0.08257879613777086,-0.0021190095284008836,0.03495493301644508
poverty_rate,0.02615052802947508,0.021382242513032182,1.2230021249425402,0.221328893706373,-0.015757897204769215,0.06805895326371939
t2m_mean_c_2023,-0.03743268153445332,0.016254040381455757,-2.30297702331048,0.02128013589439947,-0.06929001528536628,-0.005575347783540352
