,Coef.,Std.Err.,z,P>|z|,[0.025,0.975]
Intercept,1.6994721596123477,0.02579273052802315,65.8895791496722,0.0,1.6489193367144754,1.7500249825102199
log_median_household_income_c,0.3252485507203346,0.036508325167880655,8.908887198322706,5.154732479583196e-19,0.2536935482554113,0.3968035531852579
pct_black_c,-0.10272030683783215,0.02364952656298334,-4.343440303731568,1.4026860574544845e-05,-0.14907252715270283,-0.05636808652296147
pct_hispanic_c,-0.14711903328862533,0.031080520828672867,-4.7334803074761505,2.2070238536679005e-06,-0.20803573473357115,-0.08620233184367951
pct_asian_c,-0.2727844712791376,0.026654992985666193,-10.233897695108315,1.397778351384789e-24,-0.32502729753921106,-0.22054164501906406
cdd65_2023,0.02739773162821588,0.03373882635120235,0.8120534882577356,0.41676094025918264,-0.03872915290079165,0.0935246161572234
hdd65_2023,-0.012435578379532535,0.037637496620096036,-0.33040397200308813,0.7410947406799656,-0.08620371622316877,0.06133255946410371
log_median_household_income_c:pct_black_c,0.008995175510217076,0.03581423749284638,0.2511619998056302,0.8016888627945914,-0.0611994401095259,0.07918979112996005
log_median_household_income_c:pct_hispanic_c,0.007286682488075126,0.02985548277314148,0.24406513682740896,0.8071803729427105,-0.05122898848833819,0.06580235346448844
log_median_household_income_c:pct_asian_c,0.025909260352615465,0.02650966471233384,0.9773514917584366,0.32839516917602607,-0.026048727725791237,0.07786724843102216
