feature,VIF
log_median_household_income,5.284879549850886
pct_bachelors_plus,4.63136195634358
poverty_rate,2.7945339625145
pct_hispanic,2.5462960983747203
cdd65_2023,2.131362181898395
hdd65_2023,1.75299325475586
ghi_mean_kwh_m2_day_2023,1.6312565538163901
pct_asian,1.3161426479325902
pct_black,1.092814794787053
