zip	latitude	longitude
75604	32.533310990198025	-94.7984225939604
78152	29.43757712	-98.21922242
77459	29.52792856149384	-95.54175765474982
78727	30.42577461017964	-97.71288293243514
77494	29.746522248345787	-95.79832806115262
77007	29.77090714722689	-95.3999099279832
77005	29.71875239621212	-95.4233595239899
75077	33.07665582072072	-97.0570986827027
76226	33.14942272831106	-97.1670034402187
78258	29.646793318429488	-98.48270977676282
78738	30.321940662352944	-97.9719044561086
76148	32.867474143786986	-97.25084470591716
78248	29.58870444170854	-98.5229609964824
77018	29.825123353864736	-95.42424606835748
77008	29.797723664148148	-95.41877070548148
78726	30.43304366498054	-97.84052037782102
77429	29.97314087008821	-95.6457707573376
77379	30.03281275150877	-95.53101136638595
75070	33.177703339393936	-96.6824755186553
75050	32.768108516320474	-97.02697330059348
76137	32.86565694841998	-97.28961528827728
77024	29.77073586798457	-95.50696445351976
78573	26.258701407042253	-98.3119397746479
75078	33.24689986	-96.78353024
75013	33.11579614338395	-96.69214992104122
78557	26.103194596153845	-98.24951907596154
78228	29.459650123665483	-98.56912534448398
78660	30.44479768303049	-97.60969748093623
78401	27.79745670996979	-97.3980832957704
75071	33.222526333622554	-96.6607530088937
77396	29.9480329172466	-95.28416595930408
75501	33.42017770906516	-94.08479824893767
77084	29.838062993939392	-95.66410993203463
75052	32.64887206526611	-97.0375231694678
77539	29.4608633029248	-95.04982411253482
76244	32.92941968888889	-97.28580081777778
77406	29.6526361293578	-95.75519098532112
75002	33.09540200847458	-96.63193154612593
78752	30.32518874694989	-97.70228511394336
75024	33.082916856155144	-96.79689843575042
75033	33.16543147857143	-96.83678524642858
75035	33.14078690942983	-96.7782072754386
77006	29.745477944208496	-95.38863690752896
78155	29.56766204225061	-97.96641517019786
77075	29.628841383770883	-95.2838476360382
78542	26.344101092	-98.135623964
78703	30.289268647235023	-97.76536193013824
78628	30.675356199696665	-97.72174501233567
75039	32.88056058179013	-96.93913970648148
76180	32.85835793016711	-97.21715077977132
76179	32.86555381117788	-97.41511996947116
77094	29.77164773717105	-95.71059472828948
75287	32.9994725328084	-96.8474137343832
78737	30.21190486896552	-97.93006332099615
78759	30.39723450675676	-97.75590333607698
78739	30.174087786346863	-97.8812065708487
78736	30.24402532571677	-97.92544998557776
75025	33.08835012526636	-96.7452796764079
78750	30.429922154657977	-97.7997445818241
77447	30.082396497209302	-95.8043508283721
79119	35.133415910655735	-101.93666402172131
75034	33.13941946434245	-96.84132154060018
75150	32.80993558056984	-96.6266707008706
78701	30.27043351704015	-97.74294440887022
77583	29.46575692048611	-95.46458308680556
75206	32.83229719949238	-96.77204143350254
75248	32.96640074070796	-96.794767740177
77477	29.63694250514604	-95.5621475272601
78023	29.593800751867818	-98.70581788879308
75062	32.847468200928795	-96.96965863715172
75238	32.87548014236277	-96.75244777398568
75093	33.03849155019701	-96.80893476367218
78640	30.00380304027397	-97.85421979561644
75023	33.05855942959428	-96.74682302040571
76051	32.93014229932146	-97.0959688173876
76131	32.86455661064815	-97.33917383564814
78163	29.76925903099416	-98.42491645555556
77354	30.20199218123123	-95.63632568468468
75075	33.02416179593496	-96.74748827121952
77384	30.22339371398809	-95.49249374613096
78256	29.6122163125	-98.62041273958334
76008	32.70682185192308	-97.58342024615384
79401	33.58787277506631	-101.8533239209549
75074	33.02782051552878	-96.6794771360107
75234	32.91924654805014	-96.88003443259052
77479	29.574270832336182	-95.64231078547007
78413	27.684906012572533	-97.40089883384913
75006	32.965604672200776	-96.88966872480697
77407	29.66573047470588	-95.6969368964706
76567	30.65215201634981	-97.0111011041825
75205	32.83553479769094	-96.79025414404973
77450	29.757221799226	-95.73238536462848
78704	30.24434566930456	-97.7615941296677
77389	30.094646546572577	-95.49760705020162
76133	32.65213894894992	-97.37532696526657
78641	30.542704884012824	-97.898026458612
79938	31.801513651304347	-106.21931574608696
78681	30.51454581864261	-97.71313683393473
78203	29.4140099462963	-98.46503611296296
78732	30.37319989849677	-97.89827371288474
75067	33.02034987157001	-97.01125628048092
78215	29.443050477777778	-98.47865017901236
76542	31.06417037585551	-97.72018843802282
78757	30.35091397095565	-97.72671278732042
77098	29.73596745629921	-95.4136860047244
75019	32.967993809698555	-96.98682565465268
76262	32.98765806447454	-97.23715942392003
77498	29.65196333611111	-95.63323204444444
77025	29.690817975551468	-95.42766034779412
78255	29.67574951713944	-98.64996876320416
77077	29.75261610140237	-95.6112121579288
78613	30.50952619244089	-97.80442072287713
75219	32.80994687388235	-96.81319438823527
78260	29.687850249397588	-98.4676793506024
77062	29.574784049130432	-95.1318486804348
78572	26.217151714911243	-98.3262393218935
78130	29.6952244448062	-98.1150523705814
76063	32.584888228779604	-97.12521794881604
77845	30.574594828260867	-96.28997520842393
75007	33.00620756877193	-96.89766206959064
75028	33.0366490173191	-97.06061898576512
75204	32.80031553747178	-96.78998536636568
75032	32.87883679883946	-96.45549957601548
75081	32.9488957	-96.71277444874056
79424	33.515238070731705	-101.9279002740418
78731	30.347109392405063	-97.76595100423565
78645	30.449987694432032	-97.98677344610758
76108	32.76070530296297	-97.4852166737037
78748	30.16651391840461	-97.82809292657376
77584	29.55146087492292	-95.36046897286742
76248	32.922709011027024	-97.24021082875676
78758	30.38121841105288	-97.70710744092425
77009	29.793974273919524	-95.37020384560356
77096	29.678828293974632	-95.47274499841436
78252	29.33630138571429	-98.71388206071428
75104	32.60134551671045	-96.934426115134
79922	31.826593803846155	-106.56969758846154
78620	30.265240011225067	-98.06147583390312
75240	32.93406540939086	-96.79439716142132
77375	30.075821832800003	-95.5953241016
77581	29.558978040268457	-95.26293384
77044	29.87797238277778	-95.18815665
76034	32.88738543143939	-97.14157569709596
78245	29.41902326851212	-98.68772463858132
76087	32.70401800162003	-97.75573846568484
75252	32.996781480451126	-96.79415794862156
78045	27.60048904765625	-99.49101758671875
78705	30.29209155560946	-97.7390149515464
76040	32.82573008773842	-97.09969740899184
79935	31.784754828125	-106.368544471875
75063	32.9216165752	-96.96499905216
78717	30.49368739239544	-97.7734525156844
79928	31.7045574125	-106.230519525
75212	32.77885911010929	-96.87328828825136
77469	29.566209983908045	-95.7476716457307
77054	29.686878357391304	-95.3834042547826
