outcome,sample,term,beta,p,N,R2
energy_burden_pct,full sample,log_median_household_income,-0.4098089385920348,1.0658252329805358e-37,1374,0.7345426451441175
energy_burden_pct,full sample,pct_black,-0.007809154647311239,0.5479030859448715,1374,0.7345426451441175
energy_burden_pct,full sample,pct_hispanic,0.08397565567076634,7.568083649715133e-05,1374,0.7345426451441175
energy_burden_pct,full sample,pct_asian,-0.11789534481978407,9.951571354533009e-18,1374,0.7345426451441175
energy_burden_pct,excl. gap outliers,log_median_household_income,-0.4335425302421418,1.6479484898158751e-41,1242,0.7527318268903243
energy_burden_pct,excl. gap outliers,pct_black,0.007380982451875335,0.5662654116286293,1242,0.7527318268903243
energy_burden_pct,excl. gap outliers,pct_hispanic,0.0865466724174094,1.5131728869135223e-05,1242,0.7527318268903243
energy_burden_pct,excl. gap outliers,pct_asian,-0.11590523378468319,6.628437364939252e-16,1242,0.7527318268903243
log_energy_gap_per_capita,full sample,log_median_household_income,-0.326409802289744,5.800625615549053e-15,1374,0.3165047932370345
log_energy_gap_per_capita,full sample,pct_black,0.0318616442881329,0.14188282527814935,1374,0.3165047932370345
log_energy_gap_per_capita,full sample,pct_hispanic,0.1302475555468658,3.4129410630063833e-07,1374,0.3165047932370345
log_energy_gap_per_capita,full sample,pct_asian,0.09024024147258804,0.00986891425207893,1374,0.3165047932370345
log_energy_gap_per_capita,excl. gap outliers,log_median_household_income,-0.36598835917016515,4.2689750266932474e-21,1242,0.44996674666033754
log_energy_gap_per_capita,excl. gap outliers,pct_black,0.033671805832532244,0.15910535985541252,1242,0.44996674666033754
log_energy_gap_per_capita,excl. gap outliers,pct_hispanic,0.161303201263562,1.5643312253823198e-10,1242,0.44996674666033754
log_energy_gap_per_capita,excl. gap outliers,pct_asian,-0.019265294038887916,0.47745915059495825,1242,0.44996674666033754
