outcome,term,beta_unweighted,p_unw,beta_weighted,p_w,N
y_pv,log_median_household_income,0.23333303970641717,1.7513744783176226e-07,0.34599700193870725,5.927321779655518e-08,1390
y_pv,pct_black,-0.11620370166277798,3.3670968261968543e-06,-0.0748292511926043,0.0029112445794700105,1390
y_pv,pct_hispanic,0.11689565760052502,0.00017671256272824222,0.09510073474968865,0.021085393899351358,1390
y_pv,pct_asian,-0.15819657454672326,7.559598136292315e-12,-0.14447053590862993,4.7778408999516365e-08,1390
y_storage,log_median_household_income,0.3256731386603357,3.1737828851222465e-10,0.2660425996389717,1.235467158319285e-05,1390
y_storage,pct_black,-0.11195305062342427,4.238883655393797e-07,-0.05843026115077186,0.0036318198875792723,1390
y_storage,pct_hispanic,-0.15588823093308557,8.447783643913392e-07,-0.1083325900420243,0.0008147780517331001,1390
y_storage,pct_asian,-0.26594473961845827,2.0628399054628084e-28,-0.15457106584318278,1.5782906922942897e-10,1390
y_chargers,log_median_household_income,0.09791619377656674,0.07341274519618624,0.21981037729827357,3.2159048285254364e-05,1390
y_chargers,pct_black,0.000996435025297232,0.9742740513555956,-0.05680550984651746,0.007715987352206572,1390
y_chargers,pct_hispanic,-0.12773029188594145,0.00030085466818211427,-0.19499164679419626,5.074981628620371e-13,1390
y_chargers,pct_asian,0.08330980554777687,0.004214178876414372,0.013384315726165462,0.6170614656425574,1390
