predictor,mean,sd,one_sd_in_pp
log_median_household_income,11.439973413198018,0.40272268109407067,
pct_black,0.04318229482070241,0.06583854835911097,6.583854835911097
pct_hispanic,0.34452810426852387,0.23800137552315195,23.800137552315196
pct_asian,0.11854863263898581,0.14073911818002352,14.073911818002353
