outcome,term,beta_SEM,se_SEM,p_SEM,lambda_,N
y_pv,log_median_household_income,0.20323627399911115,0.03557128144162881,1.1068030936201012e-08,0.8451077748549148,1390
y_pv,pct_black,-0.028318680674632446,0.025089400595357584,0.25901979705460465,0.8451077748549148,1390
y_pv,pct_hispanic,-0.045487988459770735,0.029816415915199075,0.12710897441044522,0.8451077748549148,1390
y_pv,pct_asian,-0.07005988865065799,0.027772609527423116,0.011648242951167953,0.8451077748549148,1390
y_storage,log_median_household_income,0.34477397650743974,0.0457080575763328,4.596323321948148e-14,0.6497457402718956,1390
y_storage,pct_black,-0.07697171914078314,0.030633753183621486,0.011983015608439285,0.6497457402718956,1390
y_storage,pct_hispanic,-0.2217553461247696,0.03641102632105171,1.1267469179898626e-09,0.6497457402718956,1390
y_storage,pct_asian,-0.20704314878715885,0.03359085537211706,7.107530120009642e-10,0.6497457402718956,1390
y_chargers,log_median_household_income,0.0009521501041821478,0.05213408283257815,0.9854286563684866,0.45314871364720644,1390
y_chargers,pct_black,0.02521105811146745,0.03280005394579787,0.4421138481342739,0.45314871364720644,1390
y_chargers,pct_hispanic,-0.11866988362622018,0.03903453842117289,0.0023647982739318785,0.45314871364720644,1390
y_chargers,pct_asian,0.0827504423343813,0.035817781086921636,0.020870589139987183,0.45314871364720644,1390
