model,outcome,term,coef,se,p,N
PPML,chargers (aggregate),log_median_household_income,0.8920543420214521,0.2508522349146291,0.000376408222023821,1390
PPML,chargers (aggregate),pct_black,-0.576887918024419,0.7451958621853614,0.43884642364737625,1390
PPML,chargers (aggregate),pct_hispanic,-1.3665876493808558,0.261529586748218,1.7381153644982906e-07,1390
PPML,chargers (aggregate),pct_asian,0.23451855645286573,0.30056258078286674,0.43523472487765347,1390
NegBin,chargers (aggregate),log_median_household_income,0.4597498427184851,0.3040922218123831,0.13056531790856765,1390
NegBin,chargers (aggregate),pct_black,-0.5420483584293326,0.8968674791803425,0.5455913324173285,1390
NegBin,chargers (aggregate),pct_hispanic,-0.7685037169198213,0.5047953601452345,0.12790726734901084,1390
NegBin,chargers (aggregate),pct_asian,0.7507106122473596,0.394240846534834,0.05688506892175287,1390
PPML,Level 2 chargers,log_median_household_income,1.0679703053080822,0.3020041281333767,0.00040580867713532244,1390
PPML,Level 2 chargers,pct_black,-0.13717976246048635,0.8464832233487336,0.8712598225985877,1390
PPML,Level 2 chargers,pct_hispanic,-1.535885267698476,0.3279097597711271,2.8151453381911994e-06,1390
PPML,Level 2 chargers,pct_asian,0.3750499008267417,0.35597654143091173,0.29207507444704184,1390
NegBin,Level 2 chargers,log_median_household_income,0.8244552230474748,0.2744770260158562,0.002666907802521515,1390
NegBin,Level 2 chargers,pct_black,0.3556866276781779,0.8121371061153941,0.661412547937729,1390
NegBin,Level 2 chargers,pct_hispanic,-1.4620496235392513,0.3463882020365253,2.4339226451089043e-05,1390
NegBin,Level 2 chargers,pct_asian,0.68220409908234,0.41155460794271503,0.09739274262081712,1390
PPML,DC fast chargers,log_median_household_income,0.29412004364397437,0.2470162851156412,0.23377495036320728,1390
PPML,DC fast chargers,pct_black,-1.583233790808468,0.9221338616393698,0.08599305267235534,1390
PPML,DC fast chargers,pct_hispanic,-0.7322943357981417,0.2633833603281814,0.005430261863748233,1390
PPML,DC fast chargers,pct_asian,-0.09376105887089416,0.2720307480050273,0.7303418634552775,1390
NegBin,DC fast chargers,log_median_household_income,-0.06806669579123618,0.4002604763338535,0.8649660958823465,1390
NegBin,DC fast chargers,pct_black,-2.807206321445275,1.2890592868000184,0.02942711255649134,1390
NegBin,DC fast chargers,pct_hispanic,0.14952515612445755,0.6280157568479384,0.8118101981661978,1390
NegBin,DC fast chargers,pct_asian,0.21339462738957443,0.37948814082748156,0.57389647753148,1390
PPML,storage MW,log_median_household_income,0.8510205957843119,0.1461851135808096,5.831235871663263e-09,1390
PPML,storage MW,pct_black,-1.5293211570492633,0.47308955569991834,0.0012265843095682406,1390
PPML,storage MW,pct_hispanic,-0.8165874184014308,0.1438011361997591,1.3581109218192135e-08,1390
PPML,storage MW,pct_asian,-1.755829955001795,0.187499436985809,7.64441091499837e-21,1390
PPML,PV capacity,log_median_household_income,0.47711759903258877,0.1375456126106777,0.0005227972798078714,1390
PPML,PV capacity,pct_black,-2.1273388883886315,0.5343368118643266,6.854815489522158e-05,1390
PPML,PV capacity,pct_hispanic,-0.5092705189807211,0.1375735981285456,0.00021407182221809572,1390
PPML,PV capacity,pct_asian,-1.9859794832749111,0.19168001834210016,3.7339120910820993e-25,1390
