,Coef.,Std.Err.,z,P>|z|,[0.025,0.975]
Intercept,-0.5912867078683616,0.21270190047481638,-2.779884460592157,0.005437824213898245,-1.0081747722422247,-0.17439864349449846
wind_ws50m_mean_2023,0.1401081884659174,0.0485979707414814,2.8830049141604657,0.003939012957793946,0.04485791609088256,0.23535846084095224
poverty_rate,0.30359529499217247,0.290231780212545,1.0460442849154596,0.29554058671046946,-0.26524854139336035,0.8724391313777053
y_pv,0.14670486621075937,0.07905883176200965,1.8556417156831282,0.06350464351988154,-0.008247596702590843,0.3016573291241096
y_chargers,0.010333199282948015,0.04115269787993157,0.25109409140310773,0.8017413639813847,-0.0703246064283757,0.09099100499427172
