OBJECTID,CECPlantID,PlantName,Retired Plant,Operator Company,County,Capacity_Latest,Units,PriEnergySource,StartDate,CEC_Jurisdictional,x,y
2310,E0302,Potrero Hills Energy Producers LLC,0,DTE Biomass Energy Inc,Solano,8,"1, 2, 3, 4, 5",LFG,4/13/2016 12:00:00 AM,0,-121.984311903,38.215283852
2311,G0159,Solano County Cogeneration Plant,0,Solano County,Solano,2.92,"3163, 3164, 8338",NG,6/15/1989 12:00:00 AM,0,-122.039142679,38.246590247
2312,W0398,Anheuser-Busch,0,Foundation Windpower,Solano,1.5,WPRS 1,WND,12/1/2011 12:00:00 AM,0,-122.0892346,38.2322821280001
2313,W0456,Anheuser-Busch #2,0,Foundation Windpower,Solano,1.6,WPRS 1,WND,12/31/1989 12:00:00 AM,0,-122.092097747,38.2335071860001
2314,G0915,Lambie Peaker,0,"Gilroy Energy Center, LLC",Solano,48.1,LA1JT1,NG,1/1/2003 12:00:00 AM,0,-121.868095767,38.2218831770001
2315,G0916,Goose Haven Peaker,0,Goose Haven Energy Center LLC,Solano,48.1,GH1JT1,NG,1/1/2003 12:00:00 AM,0,-121.843770961,38.227108679
2316,G0918,Creed Energy Center,0,Creed Energy Center LLC,Solano,48.1,CD1JT1,NG,1/1/2003 12:00:00 AM,0,-121.855080947,38.24160197
2317,S9304,Vaca Solar Millenium Fund LLC (Vaca Solar #100),0,Not Available,Solano,1.5,Unit 1,SUN,12/31/2013 12:00:00 AM,0,-121.921792794,38.3291619730001
2318,E0236,Hay Road,0,G2 Energy (Hay Road) LLC,Solano,1.6,362,LFG,6/21/2013 12:00:00 AM,0,-121.833501733,38.3147329880001
2319,S0154,Point Pleasant (Lawrence Solar Farm),0,Sacramento PV Energy LLC,Sacramento,1,PV1,SUN,12/30/2011 12:00:00 AM,0,-121.431278083,38.3388701860001
2320,S0156,Grundman-Wilkinson Solar Farm (Bruceville Road),0,Sacramento PV Energy LLC,Sacramento,18,PV1,SUN,12/28/2011 12:00:00 AM,0,-121.413170835,38.3656832240001
2321,S0203,Green Acres Solar Facility 2,0,OL Elk Grove Trust a Delaware Statutory Trust,Sacramento,1,1,SUN,9/1/2012 12:00:00 AM,0,-121.461809265,38.283461398
2322,S0204,Green Acres Solar Facility 1,0,OL Elk Grove Trust a Delaware Statutory Trust,Sacramento,3,1,SUN,9/1/2012 12:00:00 AM,0,-121.465772435,38.282306449
2323,S0205,RE Kammerer Road 1,0,Canadian Solar,Sacramento,6.65,1,SUN,1/1/2012 12:00:00 AM,0,-121.387550536,38.3636556550001
2324,S0206,RE Kammerer Road 2,0,Canadian Solar,Sacramento,6.65,1,SUN,1/1/2012 12:00:00 AM,0,-121.383446006,38.363681478
2325,S0207,RE Kammerer Road 3,0,Canadian Solar,Sacramento,6.65,1,SUN,1/1/2012 12:00:00 AM,0,-121.38226899,38.360928605
2326,S0284,RE Bruceville Solar 1,0,Canadian Solar,Sacramento,6.65,1,SUN,1/1/2012 12:00:00 AM,0,-121.414580064,38.34896286
2327,S0285,RE Bruceville Solar 2,0,Canadian Solar,Sacramento,6.65,1,SUN,1/1/2012 12:00:00 AM,0,-121.414970124,38.346708694
2328,S0286,RE Bruceville Solar 3,0,Canadian Solar,Sacramento,6.65,1,SUN,1/1/2012 12:00:00 AM,0,-121.409945687,38.3476304860001
2329,S0155,Kost (Fleshman Solar Farm),0,Sacramento PV Energy LLC,Sacramento,3,PV1,SUN,11/19/2011 12:00:00 AM,0,-121.337797027,38.2380029820001
2330,S0157,Boessow (Van Connett Solar Farm),0,Sacramento PV Energy LLC,Sacramento,3,PV1,SUN,12/20/2011 12:00:00 AM,0,-121.278976662,38.253740878
2331,S0211,RE McKenzie 1,0,Canadian Solar,Sacramento,5,1,SUN,1/1/2012 12:00:00 AM,0,-121.294970581,38.309117767
2332,S0212,RE McKenzie 2,0,Canadian Solar,Sacramento,5,1,SUN,1/1/2012 12:00:00 AM,0,-121.291795543,38.3105140260001
2333,S0213,RE McKenzie 3,0,Canadian Solar,Sacramento,5,1,SUN,1/1/2012 12:00:00 AM,0,-121.291632167,38.307117218
2334,S0214,RE McKenzie 4,0,Canadian Solar,Sacramento,5,1,SUN,1/1/2012 12:00:00 AM,0,-121.293386062,38.3041058110001
2335,S0215,RE McKenzie 5,0,Canadian Solar,Sacramento,5,1,SUN,1/1/2012 12:00:00 AM,0,-121.287330603,38.30556728
2336,S0216,RE McKenzie 6,0,Canadian Solar,Sacramento,5,1,SUN,1/1/2012 12:00:00 AM,0,-121.283482277,38.3054382440001
2337,H0080,Camanche,0,East Bay Municipal Utility District (EBMUD),San Joaquin,10.8,"1, 2, 3",WAT,7/1/1983 12:00:00 AM,0,-121.024001542,38.2254977860001
2338,S0602,Rancho Seco Solar,0,D. E. Shaw,Sacramento,10.9,Unit 1,SUN,8/11/2016 12:00:00 AM,0,-121.114481223,38.339851837
2339,S0063,Rancho Seco Solar PV - Retired 3/31/2013,1,Sacramento Municipal Utility District (SMUD),Sacramento,2,"1, 2",SUN,8/1/1994 12:00:00 AM,0,-121.11711904,38.3420578700001
2340,G0889,Cosumnes Power Plant,0,Sacramento Municipal Utility District (SMUD),Sacramento,500,"CTG 2, CTG 3, STG 1",NG,2/24/2006 12:00:00 AM,1,-121.123583024,38.338496553
2341,S0701,Rancho Seco Solar II,0,D. E. Shaw,Sacramento,160,RSS2,SUN,12/1/2020 12:00:00 AM,0,-121.118572753,38.343777743
2342,H0380,Pardee,0,East Bay Municipal Utility District (EBMUD),Calaveras,23.6,"Unit 1, Unit 2, Unit 3",WAT,7/1/1930 12:00:00 AM,0,-120.850507568,38.2567779570001
2343,E0201,Buena Vista Biomass,0,Buena Vista Biomass Power,Amador,22.5,1,WDS,1/13/2013 12:00:00 AM,0,-120.914619221,38.277397847
2344,C0005,Buena Vista Biomass Power (Jackson Valley) Retired Dec 2012,1,Jackson Valley Energy Part LP,Amador,18.4,1,PC,6/1/1986 12:00:00 AM,0,-120.913742425,38.27790437
2345,E0051,Wheelabrator Martell Inc - Retired December 2003,1,Wheelabrator Martell Inc,Amador,18,Unit 1,OGW,3/1/1986 12:00:00 AM,0,-120.808524073,38.3681159330001
2346,G0378,Mule Creek State Prison - Retired 1/26/2016,1,Mule Creek State Prison,Amador,3,"1, 2",NG,1/1/1989 12:00:00 AM,0,-120.949637293,38.3696722110001
2347,H0171,Electra,0,Pacific Gas & Electric (PG&E),Amador,99,"Unit 575, Unit 576, Unit 577",WAT,6/29/1948 12:00:00 AM,0,-120.669999417,38.331004287
2348,H0022,Beardsley,0,Tri-Dam Project & Tri-Dam Power Authority,Tuolumne,11.7,1,WAT,7/1/1956 12:00:00 AM,0,-120.077044233,38.2025342370001
2349,H0145,Donnells,0,Tri-Dam Project & Tri-Dam Power Authority,Tuolumne,72,1,WAT,7/1/1956 12:00:00 AM,0,-120.034149862,38.246479261
2350,G1024,Fuel Cell DFC,1,County of Sonoma,Sonoma,1.4,FCE,NG,11/1/2010 12:00:00 AM,0,-122.723366767,38.4666196490001
2351,S9309,Chalk Hill Solar Project  LLC_(CHSP),0,Not Available,Sonoma,0.3,Unit 1,SUN,12/31/2013 12:00:00 AM,0,-122.750193257,38.493705956
2352,G0653,Veterans Home of California,1,Yountville Cogeneration Associates,Napa,3,"1, 2",NG,7/1/1986 12:00:00 AM,0,-122.365986612,38.3945367750001
2353,H0343,Monticello,0,Solano Irrigation District,Yolo,11.5,"1, 2, 3",WAT,6/1/1983 12:00:00 AM,0,-122.104178619,38.5135551060001
2354,S9404,Putah Creek Solar Farm,0,Not Available,Yolo,2,1,SUN,12/1/2014 12:00:00 AM,0,-121.994667513,38.521598496
2355,S0630,Genentech Inc. - Vacaville,0,Tesla Inc.,Solano,7.9,"Unit 1, Unit 2",SUN,5/8/2017 12:00:00 AM,0,-121.945487068,38.388085034
2356,S9006,Alza Corporation (700 Eubanks),0,Not Available,Solano,1,1,SUN,1/1/2012 12:00:00 AM,0,-121.964323112,38.4002311290001
2357,S9009,Mariani Packing Co. Inc.,0,Not Available,Solano,1,1,SUN,1/1/2012 12:00:00 AM,0,-121.950908291,38.4069824110001
2358,S9100,Norvartis Pharmaceuticals Corp,0,Not Available,Solano,1,1,SUN,1/1/2012 12:00:00 AM,0,-121.962817133,38.38849893
2359,G0909,Vaca Dixon - CalPeak Power,0,CalPeak Power - Vaca Dixon LLC,Solano,49.9,4,NG,6/21/2002 12:00:00 AM,0,-121.92395544,38.3990353680001
2360,S0110,Vaca Dixon Solar Station,0,Pacific Gas & Electric (PG&E),Solano,2,1,SUN,12/22/2009 12:00:00 AM,0,-121.926421943,38.4107340140001
2361,S9108,Superior Packing Co.,0,Not Available,Solano,1.1,1,SUN,1/1/2012 12:00:00 AM,0,-121.820544435,38.4205507680001
2362,W0405,Superior Farms,0,Foundation Windpower,Solano,1,WPRS 1,WND,12/1/2012 12:00:00 AM,0,-121.81745367,38.4201238520001
2363,S0310,Grasslands EPWF,0,Yolo County General Services,Yolo,2.5,1,SUN,7/1/2013 12:00:00 AM,0,-121.694432157,38.5015392380001
2364,S0311,Grasslands RES-BCT,0,Yolo County General Services,Yolo,2.5,1,SUN,7/1/2013 12:00:00 AM,0,-121.692346354,38.5015992140001
2365,G0639,University of California  Davis - Idefinite Shutdown,1,UC Davis Operations & Maintenance Utilities Division,Yolo,3,GEN1,NG,2/1/1981 12:00:00 AM,0,-121.456244833,38.555960068
2366,S0660,Sacramento Regional County Sanitation District,0,Tesla Inc.,Sacramento,3.73,Unit 1,SUN,1/26/2018 12:00:00 AM,0,-121.466142355,38.4361962680001
2367,S9092,Siemens Industry Inc.,0,Not Available,Sacramento,1,1,SUN,1/1/2012 12:00:00 AM,0,-121.392382106,38.487410406
2368,S9102,Granite Construction Company,0,Not Available,Sacramento,1.1,1,SUN,1/1/2012 12:00:00 AM,0,-121.405788425,38.542875075
2369,S9139,Campbell Soup Supply Company LLC,0,Not Available,Sacramento,2,1,SUN,1/1/2012 12:00:00 AM,0,-121.475608216,38.516754013
2370,S9147,U.S. National Leasing LLC_(Depot Park),0,Not Available,Sacramento,3,1,SUN,1/1/2012 12:00:00 AM,0,-121.401387008,38.5153539680001
