OBJECTID,CECPlantID,PlantName,Retired Plant,Operator Company,County,Capacity_Latest,Units,PriEnergySource,StartDate,CEC_Jurisdictional,x,y
1865,S0335,Corcoran 2 Solar LLC CED,0,RWE Clean Energy,Kings,19.8,1,SUN,6/10/2015 12:00:00 AM,0,-119.567892971,36.137169611
1866,S0520,Corcoran 3 Solar,0,RWE Clean Energy,Kings,20,Unit 1,SUN,2/11/2016 12:00:00 AM,0,-119.579712248,36.144318942
1867,C0007,Hanford - Retired October 2011,1,Hanford LP,Kings,24,GEN 1,PC,9/1/1990 12:00:00 AM,0,-119.648391474,36.2696401320001
1868,G0832,Hanford Energy Park Peaker,0,"MRP San Joaquin Energy, LLC",Kings,92,"1, 2",NG,9/1/2001 12:00:00 AM,1,-119.647437264,36.270308115
1869,S0608,Exeter Solar,0,Altus Power,Tulare,3.5,ES,SUN,2/12/2014 12:00:00 AM,0,-119.128325036,36.2662977900001
1870,S0609,Lindsay Solar,0,Altus Power,Tulare,4,LS,SUN,1/15/2014 12:00:00 AM,0,-119.133999715,36.211778205
1871,S9325,ImModo California 1 LLC_(East Orosi 1),0,Not Available,Tulare,1.5,Unit 1,SUN,12/31/2013 12:00:00 AM,0,-119.039943647,36.1037174300001
1872,S9326,ImModo California 1 LLC_(East Orosi 2),0,Not Available,Tulare,1.5,Unit 1,SUN,12/31/2013 12:00:00 AM,0,-119.038789671,36.1016196
1873,S9327,ImModo California 1 LLC_(East Orosi 3),0,Not Available,Tulare,1.5,Unit 1,SUN,12/31/2013 12:00:00 AM,0,-119.037347202,36.0997336240001
1874,S0151,Porterville Solar,0,Tulare PV I LLC,Tulare,3.5,PS,SUN,1/13/2014 12:00:00 AM,0,-119.03967096,36.1027803650001
1875,S0518,Sequoia PV3,0,Coronal Group LLC,Tulare,3,Porterville6&7,SUN,8/1/2014 12:00:00 AM,0,-119.036763845,36.0988212250001
1876,H0525,Tule River,0,Southern California Edison (SCE),Tulare,2.52,"1, 2",WAT,9/1/1909 12:00:00 AM,0,-118.788821491,36.1356899370001
1877,H0523,Tule,0,Pacific Gas & Electric (PG&E),Tulare,8.5,"1, 2",WAT,1/1/1914 12:00:00 AM,0,-118.707093898,36.1630755570001
1878,H0216,Haiwee,0,Los Angeles Department of Water & Power (LADWP),Inyo,6.4,"Unit 1, Unit 2",WAT,7/1/1927 12:00:00 AM,0,-117.956825682,36.109953897
1879,S9163,CA Dept of Correctionns Salinas (SVSP),0,Not Available,Monterey,2,1,SUN,1/1/2013 12:00:00 AM,0,-121.369453077,36.4722828210001
1880,E0089,Soledad Energy - Retired Jan 2006,1,Soledad Energy LLC,Monterey,13.4,BBC 13.4,WDS,7/15/2000 12:00:00 AM,0,-121.315596887,36.416288643
1881,W0455,City of Soledad,0,See WPRS for details,Monterey,1,WPRS 1,WND,12/31/1989 12:00:00 AM,0,-121.340141107,36.4209101000001
1882,S0176,Cantua Solar Station,0,Pacific Gas & Electric (PG&E),Fresno,20,1,SUN,6/19/2012 12:00:00 AM,0,-120.342306547,36.4234282940001
1883,S0458,Buford Five Points Solar Park (Excelsior),0,Clenera - Renewable Energy,Fresno,60,W5015,SUN,8/23/2016 12:00:00 AM,0,-120.242765264,36.396683244
1884,S0138,Westside Solar Station,0,Pacific Gas & Electric (PG&E),Fresno,20,Unit 1,SUN,8/31/2010 12:00:00 AM,0,-120.125500599,36.377686243
1885,S0140,Five Points Solar Station,0,Pacific Gas & Electric (PG&E),Fresno,15,Unit 1,SUN,10/24/2011 12:00:00 AM,0,-120.107507216,36.3950065870001
1886,S0563,Westside Solar LLC,0,Whitney Point Solar,Fresno,20,Unit 1,SUN,3/8/2017 12:00:00 AM,0,-120.136150994,36.3817484320001
1887,S0564,Whitney Point Solar LLC,0,Whitney Point Solar,Fresno,20,Unit 1,SUN,4/14/2017 12:00:00 AM,0,-120.136326598,36.3750812120001
1888,S9018,Warmer Packing LLC,0,Not Available,Kings,1,1,SUN,1/1/2012 12:00:00 AM,0,-119.741843909,36.403326427
1889,S0517,Sequoia PV2,0,Coronal Group LLC,Tulare,3,Hanford 1&2,SUN,8/29/2014 12:00:00 AM,0,-119.630804612,36.3064720150001
1890,S9033,Jackson Michael,0,Not Available,Fresno,1,1,SUN,1/1/2012 12:00:00 AM,0,-119.60868408,36.471758907
1891,S9076,George Jackson,0,Not Available,Fresno,1,1,SUN,1/1/2012 12:00:00 AM,0,-119.61294115,36.467041904
1892,S0222,RE North Face,0,PureGen Power,Tulare,1,1,SUN,4/1/2009 12:00:00 AM,0,-119.40077663,36.3544619520001
1893,S0633,Visalia USD El Diamante HS,0,Tesla Inc.,Tulare,1.01,93210617-CA,SUN,5/25/2017 12:00:00 AM,0,-119.348656701,36.3059959500001
1894,S9038,Beret & Kees Jan De Jong,0,Not Available,Tulare,1,1,SUN,1/1/2012 12:00:00 AM,0,-119.345838982,36.472249429
1895,E0101,MM Tulare Energy LLC,0,MM Tulare LLC,Tulare,1.8,Gen 1-2,LFG,5/1/1998 12:00:00 AM,0,-119.394495137,36.3884395200001
1896,G0288,Kaweah Delta District Hospital,0,Kaweah Delta Hospital,Tulare,3.5,1,NG,1/1/1984 12:00:00 AM,0,-119.296370142,36.3280164500001
1897,S0348,Ivanhoe Solar,0,Altus Power,Tulare,3.5,IS,SUN,1/17/2014 12:00:00 AM,0,-119.255181313,36.3873530660001
1898,S0516,Farmersville (Formerly Sequoia PV1),0,CD Arevon USA Inc.,Tulare,4.5,"Farmersville 1, Farmersville 2, Farmersville 3, Farmersville123, Tulare1&2",SUN,1/1/2019 12:00:00 AM,0,-119.213900818,36.318379355
1899,S0693,Tulare (Formerly Sequoia PV1),0,CD Arevon USA Inc.,Tulare,3,"Tulare 1, Tulare 2",SUN,1/1/2019 12:00:00 AM,0,-119.213239684,36.3185481740001
1900,H0262,Terminus Hydroelectric Project,0,Kaweah River Power Authority,Tulare,20,1,WAT,3/16/1990 12:00:00 AM,0,-119.006960262,36.4154376920001
1901,H0259,Kaweah 1,0,Southern California Edison (SCE),Tulare,1,1,WAT,5/1/1990 12:00:00 AM,0,-118.861923187,36.4652557900001
1902,H0260,Kaweah 2,0,Southern California Edison (SCE),Tulare,1.8,2,WAT,9/1/1929 12:00:00 AM,0,-118.879806337,36.461567535
1903,H0116,Cottonwood,0,Los Angeles Department of Water & Power (LADWP),Inyo,2.8,"Unit 1, Unit 2",WAT,11/1/1908 12:00:00 AM,0,-118.043554214,36.4434689930001
1904,S9028,CSU Monterey Bay - PV,0,Not Available,Monterey,1,1,SUN,1/1/2012 12:00:00 AM,0,-121.789048226,36.6477504640001
1905,S9063,Community Hospital of Monterey Peninsula,0,Not Available,Monterey,1,1,SUN,1/1/2012 12:00:00 AM,0,-121.913274262,36.57971873
1906,S9071,Salinas Valley Memorial Hospital,0,Not Available,Monterey,1,1,SUN,1/1/2012 12:00:00 AM,0,-121.647127237,36.6594173770001
1907,S9040,Wines US Inc. Constellation,0,Not Available,Monterey,1,1,SUN,1/1/2012 12:00:00 AM,0,-121.434017923,36.5033540410001
1908,E0255,Ameresco Johnson Canyon,0,Ameresco Inc,Monterey,1.42,Unit 1,LFG,11/23/2012 12:00:00 AM,0,-121.406131768,36.5331298070001
1909,W0457,Taylor Farms,0,See WPRS for details,Monterey,1,WPRS 1,WND,12/31/1989 12:00:00 AM,0,-121.451576101,36.505216225
1910,S0635,Panoche Valley Solar,0,RWE Clean Energy,San Benito,140,Unit 1,SUN,12/29/2017 12:00:00 AM,0,-120.888185545,36.6312738190001
1911,G0905,Wellhead Power Panoche LLC,0,Wellhead Power Panoche LLC/Gates LLC,Fresno,49.9,1,NG,12/14/2001 12:00:00 AM,0,-120.579798136,36.654101509
1912,G0908,Panoche - CalPeak Power,0,CalPeak Power - Panoche,Fresno,49.62,3,NG,12/27/2001 12:00:00 AM,0,-120.57837364,36.6535357700001
1913,G0997,Panoche Energy Center,0,Panoche Energy Center LLC,Fresno,400,"CT-1, CT-2, CT-3, CT-4",NG,7/1/2009 12:00:00 AM,1,-120.584337147,36.6512950530001
1914,G0998,Midway LLC - Starwood Power - CalPeak Power,0,CalPeak Power LLC,Fresno,120,"Unit 1, Unit 2",NG,5/5/2009 12:00:00 AM,1,-120.580712511,36.6530165140001
1915,S0588,Buford Giffen Solar,0,Not Available,Fresno,20,Unit 1,SUN,6/16/2017 12:00:00 AM,0,-120.339147058,36.5534762610001
1916,S0178,Giffen Solar Station,0,Pacific Gas & Electric (PG&E),Fresno,10,1,SUN,6/30/2012 12:00:00 AM,0,-120.313610438,36.5296086700001
1917,S0312,Adams East  LLC,0,Onward Energy,Fresno,19,1,SUN,12/1/2014 12:00:00 AM,0,-120.385045904,36.6155305620001
1918,S0526,Tranquillity LLC,0,Southern Power Company,Fresno,200,TRQS1,SUN,7/28/2016 12:00:00 AM,0,-120.400614487,36.5779859290001
1919,S0605,Giffen Solar Park LLC,0,Stellar Power Renewable LLC,Fresno,20,W5512,SUN,5/22/2017 12:00:00 AM,0,-120.345299617,36.5483346980001
1920,S0616,Aspiration Solar,0,S-Power (Sustainable Power Group),Fresno,9,Unit 1,SUN,9/13/2017 12:00:00 AM,0,-120.345451239,36.548366554
1921,S0653,Great Valley Solar Portfolio (Tranquillity 8),0,Great Valley Solar Portfolio Holdings LLC,Fresno,200,"Amarillo, Azul, Rojo, Verde",SUN,12/26/2017 12:00:00 AM,0,-120.383269626,36.578348127
1922,G0904,Fresno Cogeneration Partners  LP PKR,0,Fresno Cogeneration Partners,Fresno,21.3,UNIT 3,NG,8/16/2001 12:00:00 AM,0,-120.099883466,36.6170139290001
1923,S0139,Stroud Solar Station,0,Pacific Gas & Electric (PG&E),Fresno,20,Unit 1,SUN,10/26/2011 12:00:00 AM,0,-120.123022103,36.523913646
1924,S0425,Fresno Solar South,0,Fresno Cogeneration,Fresno,1.5,Unit 1,SUN,10/1/2015 12:00:00 AM,0,-120.101740941,36.616061712
1925,S0426,Fresno Solar West,0,Fresno Cogeneration,Fresno,1.5,Unit 1,SUN,10/1/2015 12:00:00 AM,0,-120.104472915,36.6170036730001
1926,S0654,Summer Wheat,0,"GASNA 36P, LLC",San Joaquin,18.5,Unit 1,SUN,12/10/2018 12:00:00 AM,0,-120.149463504,36.5255442980001
1927,G0384,Fresno Cogeneration Partners  LP,0,Fresno Cogeneration Partners,Fresno,58.25,"UNIT 1, UNIT 2, UNIT 4",NG,12/1/1989 12:00:00 AM,0,-120.099418208,36.617087111
1928,S9012,Golden State Vintners,0,Not Available,Fresno,1,1,SUN,1/1/2012 12:00:00 AM,0,-119.922119476,36.672102812
1929,S9085,Fowler Packing Company Inc.,0,Not Available,Fresno,1,1,SUN,1/1/2012 12:00:00 AM,0,-119.752441316,36.613493061
1930,S9086,Fowler Packing Company Inc.,0,Not Available,Fresno,1,1,SUN,1/1/2012 12:00:00 AM,0,-119.753949936,36.6134577290001
1931,S9034,Maxco Supply Inc.,0,Not Available,Fresno,1,1,SUN,1/1/2012 12:00:00 AM,0,-119.523353703,36.6117348940001
1932,S9181,Kingsburg Solar (1 & 2),0,Altus Power,Fresno,3.7,"Unit 1, Unit 2",SUN,12/1/2013 12:00:00 AM,0,-119.571910513,36.546170837
1933,S9190,Pristine Sun Fund 10 Fresno PGE LLC_(2102_Christensen),0,Not Available,Fresno,1,Unit 1,SUN,12/31/2013 12:00:00 AM,0,-119.573446175,36.6544402690001
1934,G0286,Kingsburg Cogeneration,0,"KES Kingsburg LP, c/o Southwest Generation",Fresno,34.5,"GEN 1, GEN 2",NG,12/1/1990 12:00:00 AM,0,-119.579776558,36.5395102350001
1935,S9320,ImModo California 1 LLC_(Alta 1),0,Not Available,Tulare,1.5,Unit 1,SUN,12/31/2013 12:00:00 AM,0,-119.313767406,36.54122095
1936,S9321,ImModo California 1 LLC_(Alta 3),0,Not Available,Tulare,1.5,Unit 1,SUN,12/31/2013 12:00:00 AM,0,-119.313767406,36.54122095
1937,S9322,ImModo California 1 LLC_(Alta 4),0,Not Available,Tulare,1.5,Unit 1,SUN,12/31/2013 12:00:00 AM,0,-119.313767406,36.54122095
1938,S9323,ImModo California 1 LLC_(Alta 5),0,Not Available,Tulare,1.5,Unit 1,SUN,12/31/2013 12:00:00 AM,0,-119.313767406,36.54122095
1939,S9324,ImModo California 1 LLC_(Alta 6),0,Not Available,Tulare,1.5,Unit 1,SUN,12/31/2013 12:00:00 AM,0,-119.313767406,36.54122095
1940,S0302,Terzian,0,Pristine Sun LLC,Fresno,1.25,1,SUN,5/1/2014 12:00:00 AM,0,-119.415532971,36.668115227
1941,S9000,Ruiz Foods,0,Not Available,Tulare,1,1,SUN,1/1/2012 12:00:00 AM,0,-119.398281255,36.5398599230001
1942,S9060,City of Dinuba,0,S-Power (Sustainable Power Group),Tulare,1,1,SUN,1/1/2012 12:00:00 AM,0,-119.426103789,36.538392451
1943,E0033,Dinuba Energy,0,Community Renewable Energy Services Inc,Tulare,13,"1, DSPV",WDS,7/1/2003 12:00:00 AM,0,-119.418518321,36.5698019120001
1944,H0261,Kaweah 3,0,Southern California Edison (SCE),Tulare,4.8,1,WAT,5/1/1913 12:00:00 AM,0,-118.835427569,36.486051032
1945,S0621,Monterey Regional Water Pollution Control Agency,0,Tesla Inc.,Monterey,1.12,939009-CA,SUN,12/21/2010 12:00:00 AM,0,-121.768872255,36.7081838940001
1946,S9042,Pollution Control Monterey Reg'l Water,0,Not Available,Monterey,1,1,SUN,1/1/2012 12:00:00 AM,0,-121.801017019,36.6933029950001
1947,E0055,Monterey Regional Water Pollution Control Cogen,0,Monterey One Water,Monterey,1.74,"Unit 1, Unit 2, Unit 3",LFG,1/1/1991 12:00:00 AM,0,-121.767837301,36.70631052
1948,E0135,Marina Landfill Gas (Monterey Regional Waste Management Dst),0,Monterey Regional Waste Mgmt Dist,Monterey,5.6,"G4, LL1, U1, U2, U3, U4",LFG,3/1/1997 12:00:00 AM,0,-121.76772172,36.7137784780001
1949,G0372,Moss Landing Power Plant,0,Duke Energy Moss Landing & Oakland LLC,Monterey,1080,"1-GT1, 1-GT2, 1-ST, 2-GT1, 2-GT2, 2-ST, 6, 7",NG,7/1/2002 12:00:00 AM,1,-121.782698344,36.804715286
1950,G0589,Sunnyside Cogeneration Partners LP (Retired December 2008),1,Ridgewood Power Management LLC,Monterey,6.5,Gen 1-5,NG,5/1/1991 12:00:00 AM,0,-121.674815946,36.7364789860001
1951,E0144,Salinas - Closed August 2009,1,Pacific Recovery Corp,Monterey,1.5,1,LFG,12/1/1986 12:00:00 AM,0,-121.615593804,36.801812872
1952,S0304,San Benito Smart Park,0,Bay4 Energy Services LLC,San Benito,2,1,SUN,5/31/2014 12:00:00 AM,0,-121.404176735,36.832903576
1953,S0387,Enerparc CA1 LLC,0,"RC Energy Hollister, LLC",San Benito,1.5,Unit 1,SUN,6/16/2014 12:00:00 AM,0,-121.403848454,36.8313007190001
1954,S0428,Hollister Solar,0,Hollister Solar LLC,San Benito,1.5,Unit 1,SUN,4/1/2015 12:00:00 AM,0,-121.429022177,36.863313525
1955,S9061,City of Hollister,0,Not Available,San Benito,1,1,SUN,1/1/2012 12:00:00 AM,0,-121.445915077,36.8571762650001
1956,S0341,North Star Solar,0,North Star Solar LLC,Fresno,61.6,NSS1,SUN,6/19/2015 12:00:00 AM,0,-120.417627804,36.7302432220001
1957,S0423,Citizen Solar B,0,S-Power (Sustainable Power Group),Fresno,5,Unit 1,SUN,11/24/2015 12:00:00 AM,0,-120.429779789,36.721892585
1958,S0121,CalRENEW-1,0,Meridian Energy USA Inc,Fresno,5,CR1,SUN,4/9/2010 12:00:00 AM,0,-120.365876923,36.760473635
1959,E0050,Madera Power (offline 3/28/2012 - repowered 2013),0,Madera Power LLC,Madera,25,1,WDS,6/1/2001 12:00:00 AM,0,-120.33901223,36.8615065000001
1960,E0052,Covanta Mendota LP,0,Clean Energy Systems,Fresno,53,"1, Main",WDS,7/1/1989 12:00:00 AM,0,-120.365369049,36.7558187010001
1961,S0703,Little Bear Solar 1,0,Longroad Energy,Fresno,40,Unit 1,SUN,12/16/2020 12:00:00 AM,0,-120.399442319,36.7171775520001
1962,S0704,Little Bear Solar 3,0,Longroad Energy,Fresno,20,Unit 1,SUN,12/14/2020 12:00:00 AM,0,-120.392966413,36.7165478490001
1963,S0705,Little Bear Solar 4,0,Longroad Energy,Fresno,50,Unit 1,SUN,12/14/2020 12:00:00 AM,0,-120.410069442,36.7172449670001
1964,S0706,Little Bear Solar 5,0,Longroad Energy,Fresno,50,Unit 1,SUN,12/16/2020 12:00:00 AM,0,-120.400031419,36.7115221130001
1965,S0179,La Joya Del Sol,0,X-Elio North America Inc.,Fresno,1.5,1,SUN,10/31/2012 12:00:00 AM,0,-119.797523132,36.678533922
1966,S0658,Clovis USD High School,0,Tesla Inc.,Fresno,1.01,Unit 1,SUN,6/14/2018 12:00:00 AM,0,-119.680396706,36.8162553500001
1967,S9014,Grundfos Pumps,0,Not Available,Fresno,1,1,SUN,1/1/2012 12:00:00 AM,0,-119.688356081,36.7764350240001
1968,S9020,The Gap Inc,0,Not Available,Fresno,1,1,SUN,1/1/2012 12:00:00 AM,0,-119.713208662,36.7837356950001
1969,S9026,CA State University Fresno,0,Not Available,Fresno,1,1,SUN,1/1/2012 12:00:00 AM,0,-119.741644964,36.810157578
1970,S9056,E&J Gallo Winery,0,Not Available,Fresno,1,1,SUN,1/1/2012 12:00:00 AM,0,-119.697855075,36.763876898
1971,S9126,Olam West Coast,0,Not Available,Fresno,1.4,1,SUN,1/1/2012 12:00:00 AM,0,-119.846220229,36.83863512
1972,S9143,Wawona Frozen Foods / Alluvial Project,0,Not Available,Fresno,2.2,1,SUN,1/1/2012 12:00:00 AM,0,-119.71163958,36.839120361
1973,S9144,Wawona Frozen Foods / Cedar Project,0,Not Available,Fresno,2.2,1,SUN,1/1/2012 12:00:00 AM,0,-119.753419059,36.7155983910001
1974,S9145,City of Fresno - Fresno Yosemite Airport,0,Not Available,Fresno,2.3,1,SUN,1/1/2012 12:00:00 AM,0,-119.710064689,36.7676541010001
1975,E0098,Rio Bravo Fresno,0,IHI Power Services Corp,Fresno,24.3,Unit 1,WDS,7/1/1988 12:00:00 AM,0,-119.723099728,36.6888339540001
1976,G0220,Malaga Peaking Plant,0,Malaga Power LLC,Fresno,98,"1, 2",NG,6/1/2005 12:00:00 AM,0,-119.740412311,36.6898395000001
1977,G0518,Saint Agnes Medical Center,0,Saint Agnes Medical Center,Fresno,10.5,"1, 1&2",NG,4/1/2001 12:00:00 AM,0,-119.76683909,36.834403234
1978,S0632,Sanger USD Sanger High School,0,Tesla Inc.,Fresno,1.07,9366485-CA,SUN,1/27/2017 12:00:00 AM,0,-119.576875626,36.7001275850001
1979,S0659,Clovis USD East High School,0,Tesla Inc.,Fresno,1.01,Unit 1,SUN,4/15/2018 12:00:00 AM,0,-119.637783894,36.7986268240001
1980,G0536,Algonquin Power Sanger LLC,0,Algonquin Power Sanger LLC,Fresno,39.8,"GTG, STG",NG,11/1/1990 12:00:00 AM,0,-119.553094872,36.6841855440001
1981,H0387,Pine Flat,0,Kings River Conservation District,Fresno,165,"Unit 1, Unit 2, Unit 3",WAT,1/1/1984 12:00:00 AM,0,-119.327373636,36.83250995
1982,S9124,City of Santa Cruz Wastewater Treatment Plant,0,Not Available,Santa Cruz,1.3,1,SUN,1/1/2012 12:00:00 AM,0,-122.030806092,36.9617336860001
1983,E0132,Santa Cruz Energy LLC,0,OPAL Fuels,Santa Cruz,1.6,GEN 1,LFG,11/21/2009 12:00:00 AM,0,-122.105546446,36.9736028400001
1984,G0541,UC Santa Cruz Cogeneration,0,UC Santa Cruz,Santa Cruz,4.4,"Fackler, PE, Unit 1",NG,8/1/2015 12:00:00 AM,0,-122.061664664,36.998929445
1985,G0661,Watsonville - (Non-Operational May 2011),1,Calpine Monterey Cogeneration Inc,Santa Cruz,30.8,"WV1JT1, WV1ST1",NG,5/1/1990 12:00:00 AM,0,-121.768679126,36.911320055
1986,E0214,Ameresco Santa Cruz Energy,0,Ameresco Inc,Santa Cruz,3.18,"Unit 1, Unit 2, Unit 3",LFG,2/2/2006 12:00:00 AM,0,-121.811428766,36.9145038290001
1987,S9111,Indalex West Inc.  ABANDONED,1,Not Available,Santa Cruz,1.2,1,SUN,1/1/2012 12:00:00 AM,0,-121.778005087,36.895641831
1988,G0229,Gilroy Cogen Plant,0,"Calpine Gilroy Cogen, L.P.",Santa Clara,123.4,"GI1CT1, GI1ST1",NG,3/1/1988 12:00:00 AM,1,-121.536666902,37.0001664160001
1989,G0822,Gilroy Peaker,0,"Gilroy Energy Center, LLC",Santa Clara,141.9,"GI2JT1, GI2JT2, GI2JT3",NG,2/1/2002 12:00:00 AM,1,-121.536181384,36.9991507290001
1990,W0354,International Turbine Research Inc.,0,International Turbine Research,Merced,18.43,WPRS 1,WND,6/14/1988 12:00:00 AM,0,-121.180719691,37.051787394
1991,S0691,Wright Solar,0,Clenera - Renewable Energy,Merced,200,W8785,SUN,1/3/2020 12:00:00 AM,0,-121.090244594,36.9745403900001
1992,S0337,Vega Solar,0,Longroad Energy,Merced,20,1,SUN,3/24/2015 12:00:00 AM,0,-120.805777882,36.928462316
1993,S9046,Almond Process Parreira,0,Not Available,Merced,1,1,SUN,1/1/2012 12:00:00 AM,0,-120.870989705,36.979871003
1994,S0586,CED Oro Loma 1 & 2,0,RWE Clean Energy,Fresno,20,Unit 1,SUN,1/26/2017 12:00:00 AM,0,-120.669510307,36.878518141
1995,S9048,City of Madera,0,Not Available,Madera,1,1,SUN,1/1/2012 12:00:00 AM,0,-120.156731307,36.940759364
1996,S9059,Madera Community Hospital,0,Not Available,Madera,1,1,SUN,1/1/2012 12:00:00 AM,0,-120.046193705,36.941373506
1997,H0198,Friant-Kern Hydro Facility (River Outlet  Madera Canal  F-K),0,Friant Power Authority,Madera,30.57,"FR1, M1, RO1",WAT,1/1/1986 12:00:00 AM,0,-119.7034413,36.9976864180001
1998,H0626,Quinten Luallen,0,Friant Power Authority,Madera,7.38,RO2,WAT,5/23/2017 12:00:00 AM,0,-119.707089745,37.002468521
1999,H0272,Kings River,0,Pacific Gas & Electric (PG&E),Fresno,52,Unit 597,WAT,3/7/1962 12:00:00 AM,0,-119.158747073,36.8881288000001
2000,H0019,Balch #1,0,Pacific Gas & Electric (PG&E),Fresno,34,Unit 587,WAT,2/20/1927 12:00:00 AM,0,-119.087798432,36.9090862260001
2001,H0020,Balch #2,0,Pacific Gas & Electric (PG&E),Fresno,108,"Unit 588, Unit 589",WAT,11/26/1958 12:00:00 AM,0,-119.087557536,36.9088850110001
2002,H0215,Haas,0,Pacific Gas & Electric (PG&E),Fresno,144,"Unit 591, Unit 592",WAT,12/23/1958 12:00:00 AM,0,-119.02015902,36.9274354840001
2003,H0229,Helms (Pumped Storage),0,Pacific Gas & Electric (PG&E),Fresno,1212,"Unit 936, Unit 937, Unit 938",WAT,6/30/1984 12:00:00 AM,0,-118.968287952,37.02934334
2004,H0142,Division Creek,0,Los Angeles Department of Water & Power (LADWP),Inyo,0.65,1,WAT,3/1/1909 12:00:00 AM,0,-118.282603507,36.939507297
2005,G0986,Backup Generation - Navy Regional Data Automation Center,1,Navy Public Works,San Diego,2.4,1TG,NG,1/1/1988 12:00:00 AM,0,-117.203324183,32.70235954
2006,E0120,Guadalupe Power Plant (Retired 2013),1,OPAL Fuels,Santa Clara,2.6,"Unit 1, Unit 2, Unit 3, Unit 4",LFG,4/1/1984 12:00:00 AM,0,-121.895334237,37.2143598910001
2007,G0794,Metcalf Energy Center,0,"Metcalf Energy Center, LLC",Santa Clara,565.8,"MF1CT1, MF1CT2, MF1ST1",NG,6/1/2005 12:00:00 AM,1,-121.745992005,37.2207588200001
2008,S9041,Unified School District Morgan Hill,0,Not Available,Santa Clara,1,1,SUN,1/1/2012 12:00:00 AM,0,-121.635382698,37.149066286
2009,H0363,O'Neill (Pumping-Generating),0,United States Bureau of Reclamation,Merced,25.2,"UNIT 1, UNIT 2, UNIT 3, UNIT 4, UNIT 5, UNIT 6",WAT,1/1/1968 12:00:00 AM,0,-121.017198875,37.087307959
2010,H0452,W R Gianelli (Pumping-Generating),0,California Department of Water Resources,Merced,424,"1, 2, 3, 4, 5, 6, 7, 8",WAT,6/1/1968 12:00:00 AM,0,-121.077266755,37.0690947580001
2011,S0443,Quinto Solar PV Project,0,CD Arevon USA Inc.,Merced,108,Unit 1,SUN,11/25/2015 12:00:00 AM,0,-121.047657777,37.1193311170001
2012,S9050,Ingomar Packing Co.,0,Not Available,Merced,1,1,SUN,1/1/2012 12:00:00 AM,0,-120.958701524,37.149800398
2013,S0437,Sun Harvest Solar NDP1,0,SunHarvest Solar,Merced,1.5,Unit 1,SUN,5/1/2015 12:00:00 AM,0,-120.648537663,37.058274452
2014,E0007,Merced Power (El Nido),0,Global Ampersand LLC,Merced,12.5,Unit 1,WDS,8/15/2008 12:00:00 AM,0,-120.490492608,37.186998057
2015,G0896,Chowchilla II Peaker,0,California Power Holdings LLC,Madera,48,"Unit 1, Unit 10, Unit 11, Unit 12, Unit 13, Unit 14, Unit 15, Unit 16, Unit 2, Unit 3, Unit 4, Unit 5, Unit 6, Unit 7, Unit 8, Unit 9",NG,7/1/2001 12:00:00 AM,0,-120.248327653,37.1085767820001
2016,S0421,Adera Solar,0,Adera Solar LLC,Madera,20,Unit 1,SUN,12/1/2015 12:00:00 AM,0,-120.323966958,37.1210424110001
2017,E0018,Chowchilla II Biomass,0,Global Ampersand LLC,Madera,12.5,Unit 1,WDS,5/15/2008 12:00:00 AM,0,-120.248826834,37.10692033
2018,S9164,CA Dept of Corrections Chowchilla,0,Not Available,Madera,3,1,SUN,1/1/2013 12:00:00 AM,0,-120.151319158,37.088190506
2019,H0310,Madera Canal (Station 980  1174  1302  1923),0,Madera-Chowchilla Water Power Authority,Madera,3.74,980,WAT,2/1/1985 12:00:00 AM,0,-119.899640173,37.0568005330001
2020,H0034,Big Creek 4,0,Southern California Edison (SCE),Madera,100,1,WAT,9/1/1923 12:00:00 AM,0,-119.490011714,37.1390482480001
2021,H0265,Kerckhoff PH 1,0,Pacific Gas & Electric (PG&E),Fresno,25.2,"Unit 593, Unit 594, Unit 595",WAT,8/15/1920 12:00:00 AM,0,-119.552775512,37.092464057
2022,H0266,Kerckhoff PH 2,0,Pacific Gas & Electric (PG&E),Fresno,155,Unit 932,WAT,5/6/1983 12:00:00 AM,0,-119.558241641,37.0718529710001
2023,H0448,San Joaquin #1A,0,Pacific Gas & Electric (PG&E),Madera,0.43,1,WAT,3/1/1919 12:00:00 AM,0,-119.4940159,37.1588832530001
2024,H0449,San Joaquin #2,0,Pacific Gas & Electric (PG&E),Madera,2.88,1,WAT,9/1/1917 12:00:00 AM,0,-119.497462814,37.203265033
2025,H0570,Wishon Powerhouse,0,Pacific Gas & Electric (PG&E),Madera,12.8,"1, 2, 3, 4",WAT,9/1/1910 12:00:00 AM,0,-119.504718711,37.15101782
2026,H0028,Big Creek 2,0,Southern California Edison (SCE),Fresno,67.1,UNIT 1,WAT,11/26/1913 12:00:00 AM,0,-119.305465136,37.1991231800001
2027,H0030,Big Creek 2A,0,Southern California Edison (SCE),Fresno,98.5,UNIT 1,WAT,8/1/1928 12:00:00 AM,0,-119.306121158,37.1988487180001
2028,H0032,Big Creek 3,0,Southern California Edison (SCE),Fresno,177,UNIT 1,WAT,9/1/1923 12:00:00 AM,0,-119.386439691,37.148565234
2029,H0036,Big Creek 8,0,Southern California Edison (SCE),Fresno,64.5,UNIT 1,WAT,1/1/1921 12:00:00 AM,0,-119.328857195,37.209645295
2030,H0313,Mammoth Pool,0,Southern California Edison (SCE),Madera,187,UNIT 1,WAT,3/1/1960 12:00:00 AM,0,-119.337909647,37.220259222
