Unnamed: 0,zip_code,median_household_income,poverty_rate,pct_bachelors_plus,pct_black,pct_hispanic,pct_asian,median_housing_value,total_population,pct_single_family_units,pct_multifamily_units,pct_mobile_home_units
30595,90001,60751.0,0.2052536973428963,0.0699538287307256,0.0686311011825612,0.9122918993670548,0.0046628725422406,513300.0,56403,,,
30596,90002,56158.0,0.2337481656534085,0.0805846716030387,0.1499952593154451,0.8195505831042003,0.0136531715179671,502600.0,52735,,,
30597,90003,54781.0,0.2632850580848164,0.0713790050489339,0.1627294025771183,0.8097562336141017,0.0035979249177218,547600.0,71708,,,
30598,90004,62655.0,0.1875565109098043,0.4001959686450168,0.0431819726735096,0.4597749983005914,0.2507477397865543,1457200.0,58844,,,
30599,90005,52755.0,0.2464579643712886,0.3797955754690563,0.0534751077502774,0.4774047022995328,0.3231992154231295,1084400.0,38747,,,
30600,90006,49847.0,0.2443712144921666,0.2213311745806876,0.0333925206551674,0.7085084794897811,0.1884512248151906,841900.0,55192,,,
30601,90007,36032.0,0.3874000805106676,0.2858202680646916,0.0806307798130079,0.5258961098514763,0.1828650039487427,852900.0,39253,,,
30602,90008,61822.0,0.1633539435982506,0.3321959052589321,0.6053583709595431,0.2697425470203032,0.0352839159166342,1003000.0,33443,,,
30603,90010,100901.0,0.1085305940151853,0.6056064390785456,0.051138901295221,0.0873157659669495,0.6502903081732917,863500.0,4478,,,
30604,90011,53781.0,0.2656926141437136,0.0618435836060768,0.0589099470734744,0.9173801369863014,0.006246108343711,575200.0,102784,,,
30605,90012,67635.0,0.2273666092943201,0.3947514081984827,0.1210794650722045,0.2851880522115154,0.3527213517337106,686400.0,37463,,,
30606,90013,32848.0,0.4090541087572527,0.3850236277717194,0.2233563897656302,0.2458531999194144,0.1883016587200322,786600.0,14891,,,
30607,90014,33822.0,0.3372824491507654,0.4321234975253358,0.2029350104821803,0.2277777777777777,0.2210691823899371,644700.0,9540,,,
30608,90015,63211.0,0.2805666400638468,0.4782886674836166,0.0909450845310211,0.4530229243378073,0.2415567961357247,1000800.0,25257,,,
30609,90016,71067.0,0.1554178893598521,0.3193966420255589,0.2723526094312611,0.516246583662314,0.03960782612468,919800.0,46102,,,
30610,90017,51317.0,0.3538397732771134,0.3622394049133796,0.125599530727028,0.5641972326696801,0.1793588903074428,675500.0,28981,,,
30611,90018,63671.0,0.1920171477327118,0.2438129348560021,0.2360075391297222,0.5711710235188069,0.056502499385397,886800.0,48812,,,
30612,90019,71395.0,0.1776127049180328,0.3911446462947802,0.1722102280394009,0.4269160707057077,0.171366887059776,1178100.0,59288,,,
30613,90020,55832.0,0.1835236328482219,0.4603570087716304,0.0547170303172492,0.3460285185474831,0.4389875133599228,826500.0,38361,,,
30614,90021,32250.0,0.4338046272493573,0.2019908751555371,0.2112944162436548,0.4831852791878173,0.049492385786802,1075800.0,3152,,,
30615,90022,67829.0,0.163206196303046,0.0957989014795388,0.0043479671631136,0.966092345630942,0.0111781693111392,603500.0,61638,,,
30616,90023,56623.0,0.2192936928805145,0.1015326395458845,0.0058285509325681,0.9606124461979914,0.0097964490674318,617600.0,44608,,,
30617,90024,79994.0,0.2605181703542359,0.7413846357499008,0.0419830808577611,0.1341333857957899,0.2704111745032461,1434000.0,50830,,,
30618,90025,104627.0,0.1141897751784562,0.6964076532604452,0.0364295503780007,0.1499845262832132,0.2079004376851319,1081400.0,45238,,,
30619,90026,85835.0,0.1660162497600921,0.4740218869916553,0.0364217353979205,0.4620202855235127,0.1333661886744459,1143400.0,62902,,,
30620,90027,90532.0,0.1419758507135016,0.5819276794326981,0.0407174965797302,0.2258898130252557,0.119112249994571,1747200.0,46049,,,
30621,90028,59393.0,0.1868081929431622,0.4895041070885306,0.0813587354091791,0.3025667122546993,0.1322158964409528,970800.0,31441,,,
30622,90029,60793.0,0.2306997470793689,0.3633456242004665,0.0422997339639373,0.4891516405557198,0.1714454626071534,1066200.0,33830,,,
30623,90031,62119.0,0.196741992101799,0.2424379573055744,0.0172988801822076,0.5746861527615845,0.2938911634717063,758500.0,36881,,,
