,zip_code,PV_system_size_DC,total_chargers,level1_chargers,level2_chargers,dc_fast_chargers,zev_count,plant_capacity_mw,storage_capacity_mw,wind_capacity_mw,wind_turbine_count,median_household_income,poverty_rate,pct_bachelors_plus,pct_black,pct_hispanic,pct_asian,median_housing_value,total_population,pct_single_family_units,pct_multifamily_units,pct_mobile_home_units,ghi_mean_kwh_m2_day_2023,lat_x,lon_x,lat_y,lon_y,t2m_mean_c_2023,t2m_max_mean_c_2023,t2m_min_mean_c_2023,t2m_summer_mean_c_2023,cdd65_2023,hdd65_2023,wind_ws10m_mean_2023,wind_ws50m_mean_2023,lat,lon,acronym,utility,utility_type,overlap_area_m2,overlap_share_of_zip,kwh_annual_total,log_kwh,energy_burden_pct,energy_affordability_index,energy_affordability_gap,county_geoid,county_name,area_km2,pop_density_km2,log_pop_density
0,90001,3.519701789795918,1.0,0.0,1.0,0.0,166.0,0.0,0.28608,0.0,0.0,60751.0,0.2052536973428963,0.0699538287307256,0.0686311011825612,0.9122918993670548,0.0046628725422406,513300.0,56403.0,,,,4.854851232876709,33.97366182352814,-118.24903836131266,33.97366182352814,-118.24903836131266,16.58668493150685,22.274273972602735,12.2334794520548,21.718852459016393,999.324,2146.871999999999,2.836383561643835,3.602493150684934,33.97366182352814,-118.24903836131266,SCE,Southern California Edison,IOU,6452121.654048033,0.7594819861140121,97322124.0,18.39353691082411,0.026,97.068421157,6111343.06124211,06037,Los Angeles,8.495424170594136,6639.2211698189285,8.800900550623426
1,90002,2.0547262609240464,11.0,0.0,9.0,2.0,133.0,0.0,0.0988,0.0,0.0,56158.0,0.2337481656534085,0.0805846716030387,0.1499952593154451,0.8195505831042003,0.0136531715179671,502600.0,52735.0,,,,4.854851232876709,33.94898415478062,-118.2467794262002,33.94898415478062,-118.2467794262002,16.58668493150685,22.274273972602735,12.2334794520548,21.718852459016393,999.324,2146.871999999999,2.836383561643835,3.602493150684934,33.94898415478062,-118.2467794262002,SCE,Southern California Edison,IOU,2629105.46298491,0.3392103982735809,16398117.0,16.61267713011188,0.033,96.595942789,7326622.70069912,06037,Los Angeles,7.750662955313174,6803.934102675632,8.825403231376024
2,90003,1.016524,15.0,0.0,15.0,0.0,178.0,0.0,0.11276,0.0,0.0,54781.0,0.2632850580848164,0.0713790050489339,0.1627294025771183,0.8097562336141017,0.0035979249177218,547600.0,71708.0,,,,4.854851232876709,33.96407478696888,-118.27368361507924,33.96407478696888,-118.27368361507924,16.58668493150685,22.274273972602735,12.2334794520548,21.718852459016393,999.324,2146.871999999999,2.836383561643835,3.602493150684934,33.96407478696888,-118.27368361507924,,,,,,,,0.031,97.740055762,11203751.3721192,06037,Los Angeles,9.389884046475178,7636.729020835791,8.940855589391747
3,90004,1.616081,12.0,0.0,10.0,2.0,371.0,0.0,0.7264700000000001,0.0,0.0,62655.0,0.1875565109098043,0.4001959686450168,0.0431819726735096,0.4597749983005914,0.2507477397865543,1457200.0,58844.0,,,,5.338922191780823,34.07621704327808,-118.31096401739184,34.07621704327808,-118.31096401739184,16.58668493150685,22.274273972602735,12.2334794520548,21.718852459016393,999.324,2146.871999999999,2.836383561643835,3.602493150684934,34.07621704327808,-118.31096401739184,,,,,,745199.0,13.52140791770957,0.015,61.714493032,0.0,06037,Los Angeles,7.901465558579796,7447.226032151,8.915731166529573
4,90005,0.904518,23.0,0.0,23.0,0.0,260.0,0.0,0.1288,0.0,0.0,52755.0,0.2464579643712886,0.3797955754690563,0.0534751077502774,0.4774047022995328,0.3231992154231295,1084400.0,38747.0,,,,5.338922191780823,34.05937169622409,-118.30896219548194,34.05937169622409,-118.30896219548194,16.58668493150685,22.274273972602735,12.2334794520548,21.718852459016393,999.324,2146.871999999999,2.836383561643835,3.602493150684934,34.05937169622409,-118.30896219548194,,,,,,,,0.0139999999999999,65.295013476,216131.693150613,06037,Los Angeles,3.055754744780128,12680.009763934107,9.44786085920023
5,90006,0.586425,23.0,0.0,23.0,0.0,243.0,0.0,0.022,0.0,0.0,49847.0,0.2443712144921666,0.2213311745806876,0.0333925206551674,0.7085084794897811,0.1884512248151906,841900.0,55192.0,,,,5.338922191780823,34.048091932514644,-118.29404549866192,34.048091932514644,-118.29404549866192,16.58668493150685,22.274273972602735,12.2334794520548,21.718852459016393,999.324,2146.871999999999,2.836383561643835,3.602493150684934,34.048091932514644,-118.29404549866192,,,,,,,,0.018,90.188013262,711874.473002146,06037,Los Angeles,5.008244590353348,11020.22854600758,9.307578559796877
6,90007,1.7544009999999999,174.0,0.0,174.0,0.0,174.0,0.0,0.01884,0.0,0.0,36032.0,0.3874000805106676,0.2858202680646916,0.0806307798130079,0.5258961098514763,0.1828650039487427,852900.0,39253.0,,,,5.338922191780823,34.028161970594354,-118.28482896533149,34.028161970594354,-118.28482896533149,16.58668493150685,22.274273972602735,12.2334794520548,21.718852459016393,999.324,2146.871999999999,2.836383561643835,3.602493150684934,34.028161970594354,-118.28482896533149,,,,,,,,0.026,93.799017487,29501465.270438,06037,Los Angeles,6.294012473583118,6236.562155659927,8.738344704845384
7,90008,1.6030313785714285,30.0,0.0,26.0,4.0,308.0,0.0,0.47226,0.0,0.0,61822.0,0.1633539435982506,0.3321959052589321,0.6053583709595431,0.2697425470203032,0.0352839159166342,1003000.0,33443.0,,,,5.338922191780823,34.010363064417646,-118.34281309063422,34.010363064417646,-118.34281309063422,16.58668493150685,22.274273972602735,12.2334794520548,21.718852459016393,999.324,2146.871999999999,2.836383561643835,3.602493150684934,34.010363064417646,-118.34281309063422,SCE,Southern California Edison,IOU,707730.2680884096,0.0935862626884733,4558385.0,15.332479171467993,0.023,63.802184504,2430005.19550608,06037,Los Angeles,7.562330767918421,4422.313837669573,8.39464443118865
8,90009,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan,,,,
9,90010,1.6041400000000001,18.0,0.0,12.0,6.0,161.0,0.0,0.0,0.0,0.0,100901.0,0.1085305940151853,0.6056064390785456,0.051138901295221,0.0873157659669495,0.6502903081732917,863500.0,4478.0,,,,5.338922191780823,34.062076550585495,-118.31318666552995,34.062076550585495,-118.31318666552995,16.58668493150685,22.274273972602735,12.2334794520548,21.718852459016393,999.324,2146.871999999999,2.836383561643835,3.602493150684934,34.062076550585495,-118.31318666552995,,,,,,,,,,,06037,Los Angeles,1.0113270586323457,4427.845534021172,8.39589422727554
